"unitid","institution name","year","HD2009.State abbreviation","HD2009.Institution name alias","DRVIC2009_RV.Percent admitted - total","DRVIC2009_RV.Admissions yield - total","IC2009_RV.Applicants total","IC2009_RV.Admissions total","IC2009_RV.Enrolled total","IC2009_RV.SAT Critical Reading 75th percentile score","IC2009_RV.SAT Math 75th percentile score","IC2009_RV.SAT Writing 75th percentile score","IC2009_RV.ACT Composite 75th percentile score"
"100751","The University of Alabama","2009","Alabama",,"59","46","18967","11133","5148","620","620",,"28"
"100858","Auburn University","2009","Alabama",,"80","33","14862","11816","3918","640","660","620","29"
"104151","Arizona State University-Tempe","2009","Arizona","ASU","90","40","27089","24473","9707","600","610",,"26"
"104179","University of Arizona","2009","Arizona","UA|U of A|Arizona|UofA|The University of Arizona|University of Arizona|University of Az|AZ|Univ. of Arizona|Univ. of Az|Tucson|Tucson, AZ|the university of Arizona|the Univ. of Az|the U of AZ|the U of Az|Ariz.|Arizona University|Az+university|85721|AZ+univ|AZ university|","78","36","24756","19310","6966","600","620",,"27"
"106397","University of Arkansas","2009","Arkansas","University of Arkansas|Arkansas","56","43","12035","6751","2919","620","640",,"29"
"110635","University of California-Berkeley","2009","California","UC Berkeley","21","41","48473","10404","4261","700","760","710","32"
"110662","University of California-Los Angeles","2009","California","UCLA","23","37","55423","12659","4735","680","720","700","31"
"123961","University of Southern California","2009","California",,"24","33","35753","8724","2869","710","740","730","32"
"126614","University of Colorado Boulder","2009","Colorado","U of Colorado|Univ of Colorado|University of Colorado|U of CO|Univ of CO|University of CO|Boulder|CU|CU-Boulder|UCB|CUB|Colorado|Colorado University|U of Colo|Univ of Colo|University of Colo|Colo|Buffs|Buffalos|Buffaloes|CU at Boulder|Golden Buffs","84","34","19649","16514","5555","630","650",,"29"
"134097","Florida State University","2009","Florida","Florida State|F.S.U.|FSU|F. S. U.|Fla. State University|Fla. State|Fl State University|Fl State|FL State University|FL State|Seminoles|Noles|Florida State Seminoles|Florida State University Seminoles|Fl. State|Fl. State University|The Florida State University|Floridia State University|Florda State University|Florida State Univerisity|Flordia State University|Florida State Unversity|","61","42","23439","14308","5967","640","650",,"28"
"134130","University of Florida","2009","Florida",,"43","57","25798","11015","6253","670","690",,"29"
"135726","University of Miami","2009","Florida",,"44","21","21845","9700","2006","680","700","670","31"
"139755","Georgia Institute of Technology-Main Campus","2009","Georgia","Georgia Tech","61","42","10258","6248","2640","690","730","680","31"
"139959","University of Georgia","2009","Georgia",,"56","51","17207","9569","4851","660","660","660","29"
"145637","University of Illinois at Urbana-Champaign","2009","Illinois","Illinois|Illinios|Ilinois|Ilinios|Urbana|Champaign|Champagne|Champaign-Urbana|Champagne-Urbana|Urbana-Champaign|Urbana-Champagne|University of Illinois at Urbana|University of Illinois at Champaign|University of Illinois at Champagne|University of Illinois at Champaign-Urbana|University of Illinois at Champagne-Urbana|UIUC|UICU|University of Illinois at UC|University of Illinois at CU","65","41","26057","17053","6984","660","770",,"31"
"147767","Northwestern University","2009","Illinois",,"26","32","25013","6553","2078","750","780","750","33"
"151351","Indiana University-Bloomington","2009","Indiana","IU|IUB|IU Bloomington|","73","31","33011","23975","7327","630","660","620","29"
"152080","University of Notre Dame","2009","Indiana","Notre Dame | Fighting Irish | ND","29","50","14357","4113","2064","750","760",,"34"
"153603","Iowa State University","2009","Iowa","ISU","87","42","12549","10953","4546","650","680",,"28"
"153658","University of Iowa","2009","Iowa","Iowa|UI","83","32","15060","12503","4063","640","690",,"28"
"155317","University of Kansas","2009","Kansas","University of Kansas | Univ of Kansas | Kansas University | KU | Kansas Jayhawks | Univ of KS |University of KS | Kansas Univ | Kansas U","92","45","10902","10003","4483",,,,"27"
"155399","Kansas State University","2009","Kansas","K-State","98","45","8413","8283","3687",,,,
"157085","University of Kentucky","2009","Kentucky",,"79","47","11120","8757","4110","610","630","600","27"
"157289","University of Louisville","2009","Kentucky",,"70","48","7861","5473","2609","620","640",,"27"
"159391","Louisiana State University and Agricultural & Mechanical College","2009","Louisiana","Louisiana State University|LSU","73","46","15093","11092","5141","630","650","600","28"
"163286","University of Maryland-College Park","2009","Maryland",,"42","35","28331","11870","4202","680","710",,
"164924","Boston College","2009","Massachusetts",,"30","25","29289","8804","2171","700","730","720","32"
"170976","University of Michigan-Ann Arbor","2009","Michigan","U of Michigan|U of M|Univ of Michigan|U Michigan Ann Arbor|University of Michigan Ann Arbor","50","41","29965","14970","6079","690","740",,"31"
"171100","Michigan State University","2009","Michigan","MSU|Spartans|MI State University|State|MI State U","72","40","25395","18392","7416","610","660","610","27"
"174066","University of Minnesota-Twin Cities","2009","Minnesota",,"50","32","33910","16960","5400","670","710","650","29"
"176017","University of Mississippi","2009","Mississippi","Ole Miss","80","38","8595","6839","2576","580","600",,"26"
"176080","Mississippi State University","2009","Mississippi",,"57","38","11281","6415","2450","610","640",,"27"
"178396","University of Missouri-Columbia","2009","Missouri",,"83","41","16455","13659","5589","650","650",,"28"
"181464","University of Nebraska-Lincoln","2009","Nebraska",,"63","67","9455","5943","3986","670","680",,"29"
"186380","Rutgers University-New Brunswick","2009","New Jersey","Rutgers, The State University of New Jersey|Rutgers, The State University|Rutgers University|Rutgers, New Brunswick Campus|Rutgers-New Brunswick Campus|Rutgers-New Jersey|Rutgers, The State University New Brunswick/Piscataway Campus|Rutgers, New Brunswick|Rutgers|RU|Rutgers, New Jersey","61","33","28624","17598","5839","630","670","640",
"196413","Syracuse University","2009","New York",,"60","26","20951","12596","3261","620","650","630","28"
"198419","Duke University","2009","North Carolina",,"22","41","18774","4202","1703","760","780","760",
