"unitid","institution name","year","HD2009.State abbreviation","HD2009.Institution name alias","DRVIC2009_RV.Percent admitted - total","DRVIC2009_RV.Admissions yield - total","IC2009_RV.Applicants total","IC2009_RV.Admissions total","IC2009_RV.Enrolled total","IC2009_RV.SAT Critical Reading 75th percentile score","IC2009_RV.SAT Math 75th percentile score","IC2009_RV.SAT Writing 75th percentile score","IC2009_RV.ACT Composite 75th percentile score"
"199120","University of North Carolina at Chapel Hill","2009","North Carolina",,"34","53","21543","7315","3865","690","700","690","31"
"199193","North Carolina State University at Raleigh","2009","North Carolina","NC State University | NC State | N C State University | N C State | NCSU","59","46","17853","10538","4804","620","660","610","27"
"199847","Wake Forest University","2009","North Carolina",,"38","30","10553","3959","1201",,,,
"204796","Ohio State University-Main Campus","2009","Ohio",,"65","49","21330","13840","6739","650","690","640","30"
"207388","Oklahoma State University-Main Campus","2009","Oklahoma",,"86","48","7561","6537","3148","600","640",,"27"
"207500","University of Oklahoma-Norman Campus","2009","Oklahoma","University of Oklahoma|Oklahoma University|OU|Oklahoma","89","46","9252","8211","3760","640","660",,"29"
"209542","Oregon State University","2009","Oregon",,"84","44","8640","7270","3191","590","620",,"26"
"209551","University of Oregon","2009","Oregon","UO","85","33","15013","12801","4260","607","612",,
"214777","Pennsylvania State University-Main Campus","2009","Pennsylvania","Penn State","51","36","39089","20011","7241","630","670",,"29"
"215293","University of Pittsburgh-Pittsburgh Campus","2009","Pennsylvania",,"55","30","20685","11467","3488","680","680",,"30"
"217882","Clemson University","2009","South Carolina",,"58","36","14504","8355","2982","640","680","640","30"
"218663","University of South Carolina-Columbia","2009","South Carolina",,"58","40","17018","9954","3967","630","650",,"28"
"221759","The University of Tennessee-Knoxville","2009","Tennessee",,"73","42","12234","8892","3717","640","650",,"29"
"221999","Vanderbilt University","2009","Tennessee",,"20","41","19353","3899","1599","750","770","750","34"
"223232","Baylor University","2009","Texas",,"50","20","31440","15699","3098","640","650",,"29"
"228723","Texas A & M University-College Station","2009","Texas","Texas A&M | TAMU","67","53","22969","15369","8104","630","670","610","30"
"228778","The University of Texas at Austin","2009","Texas","UT Austin |University of Texas","45","51","31362","14213","7243","660","690","660","30"
"228875","Texas Christian University","2009","Texas","TCU","59","26","11951","7079","1821","630","650","630","28"
"229115","Texas Tech University","2009","Texas",,"68","41","16551","11228","4585","580","620","570","26"
"230764","University of Utah","2009","Utah","The U","80","59","7890","6318","3748","630","630","600","27"
"233921","Virginia Polytechnic Institute and State University","2009","Virginia","Virginia Tech","67","36","21053","14040","5050","640","670","630",
"234076","University of Virginia-Main Campus","2009","Virginia","University of Virginia |UVa |UVA","32","48","21109","6768","3250","710","730","710","32"
"236939","Washington State University","2009","Washington",,"76","37","11795","8995","3372","590","610","570","26"
"236948","University of Washington-Seattle Campus","2009","Washington","UW-Seattle, UDub, UW, Washington","61","45","20224","12327","5579","650","680","640","29"
"238032","West Virginia University","2009","West Virginia","WVU","88","39","15094","13232","5135","560","580",,"26"
"240444","University of Wisconsin-Madison","2009","Wisconsin",,"59","43","22613","13446","5773","670","730","670","30"
"243744","Stanford University","2009","California",,"8","70","30429","2426","1694","760","780","760","34"
"243780","Purdue University-Main Campus","2009","Indiana","Purdue-West Lafayette|Purdue|PU|Purdue-WL","73","31","27213","19905","6225","610","670","600","29"
