"unitid","institution name","year","HD2015.State abbreviation","HD2015.Institution name alias","DRVADM2015_RV.Percent admitted - total","DRVADM2015_RV.Admissions yield - total","ADM2015_RV.Applicants total","ADM2015_RV.Admissions total","ADM2015_RV.Enrolled total","ADM2015_RV.SAT Critical Reading 75th percentile score","ADM2015_RV.SAT Math 75th percentile score","ADM2015_RV.SAT Writing 75th percentile score","ADM2015_RV.ACT Composite 75th percentile score"
"147767","Northwestern University","2015","Illinois","","13","48","32122","4190","2018","760","800","770","34"
"151351","Indiana University-Bloomington","2015","Indiana","IU|IUB|IU Bloomington|","78","29","34483","26892","7875","630","660","620","30"
"152080","University of Notre Dame","2015","Indiana","Notre Dame | Fighting Irish | ND","20","56","18157","3595","2007","760","770",,"34"
"153603","Iowa State University","2015","Iowa","ISU","87","37","19164","16702","6230","620","640",,"28"
"153658","University of Iowa","2015","Iowa","Iowa|UI","81","25","26222","21171","5241","630","690",,"28"
"155317","University of Kansas","2015","Kansas","University of Kansas | Univ of Kansas | Kansas University | KU | Kansas Jayhawks | Univ of KS |University of KS | Kansas Univ | Kansas U, KUMC, University of Kansas Medical Center, KU Medical Center, Kansas University Medical Center","93","30","15155","14165","4187",,,,"28"
"155399","Kansas State University","2015","Kansas","K-State","95","42","9178","8712","3624",,,,
"157085","University of Kentucky","2015","Kentucky","","89","31","18725","16685","5211","620","630","610","28"
"157289","University of Louisville","2015","Kentucky","","72","40","9685","6943","2797","620","620","590","29"
"159391","Louisiana State University and Agricultural & Mechanical College","2015","Louisiana","Louisiana State University|LSU","77","42","17429","13480","5624","620","640",,"28"
"163259","University of Maryland, Baltimore","2015","Maryland","",,,,,,,,,
"164924","Boston College","2015","Massachusetts","","29","26","29486","8405","2162","720","750","730","33"
"170976","University of Michigan-Ann Arbor","2015","Michigan","U of Michigan|U of M|Univ of Michigan|U Michigan Ann Arbor|University of Michigan Ann Arbor","26","45","51797","13611","6092","730","770","730","33"
"171100","Michigan State University","2015","Michigan","MSU|Spartans|MI State University|State|MI State U","66","35","35300","23397","8173","580","680","580","28"
"174066","University of Minnesota-Twin Cities","2015","Minnesota","","45","28","46165","20579","5771","700","740","690","31"
"176017","University of Mississippi","2015","Mississippi","Ole Miss","79","28","18059","14217","3966","600","600",,"28"
"176080","Mississippi State University","2015","Mississippi","","65","43","12446","8120","3471","620","640",,"29"
"178396","University of Missouri-Columbia","2015","Missouri","","78","36","21988","17180","6191","650","650",,"29"
"181464","University of Nebraska-Lincoln","2015","Nebraska","","76","62","9724","7425","4628","630","660",,"28"
"186380","Rutgers University-New Brunswick","2015","New Jersey","Rutgers, The State University of New Jersey|Rutgers, The State University|Rutgers University|Rutgers, New Brunswick Campus|Rutgers-New Brunswick Campus|Rutgers-New Jersey|Rutgers, The State University New Brunswick/Piscataway Campus|Rutgers, New Brunswick|Rutgers|RU|Rutgers, New Jersey","58","32","35340","20657","6607","640","700","660",
"196413","Syracuse University","2015","New York","","48","22","33254","16071","3481","630","660","640","29"
"198419","Duke University","2015","North Carolina","","11","49","31220","3566","1746","760","790","780","34"
"199120","University of North Carolina at Chapel Hill","2015","North Carolina","","31","43","31143","9510","4076","710","720","700","33"
"199193","North Carolina State University at Raleigh","2015","North Carolina","NC State University | NC State | N C State University | N C State | NCSU","50","41","21364","10774","4364","650","680","630","31"
"199847","Wake Forest University","2015","North Carolina","","29","33","13281","3903","1284",,,,
"204796","Ohio State University-Main Campus","2015","Ohio","","49","35","40240","19872","7032","670","720","660","31"
"207388","Oklahoma State University-Main Campus","2015","Oklahoma","","75","44","12501","9392","4177","590","620",,"27"
"207500","University of Oklahoma-Norman Campus","2015","Oklahoma","University of Oklahoma|Oklahoma University|OU|Oklahoma","78","45","12002","9318","4200","670","670",,"29"
"209542","Oregon State University","2015","Oregon","OSU","78","33","14058","11016","3593","610","630","590","28"
"209551","University of Oregon","2015","Oregon","UO","74","25","22000","16328","4133","620","610",,"27"
"214777","Pennsylvania State University-Main Campus","2015","Pennsylvania","Penn State","51","28","53472","27440","7626","630","670","640","29"
"215293","University of Pittsburgh-Pittsburgh Campus","2015","Pennsylvania","","54","24","30626","16503","4014","660","690","670","31"
"217882","Clemson University","2015","South Carolina","","51","30","22396","11483","3447","660","690",,"31"
"218663","University of South Carolina-Columbia","2015","South Carolina","","65","31","25740","16611","5199","640","650",,"30"
"221759","The University of Tennessee-Knoxville","2015","Tennessee","","76","36","17081","13032","4719","630","630",,"30"
"221999","Vanderbilt University","2015","Tennessee","","12","44","31464","3674","1607","790","800","770","35"
"223232","Baylor University","2015","Texas","","44","24","32136","14033","3394","650","670","640","30"
"228723","Texas A & M University-College Station","2015","Texas","Texas A&M | TAMU","67","47","33213","22134","10318","640","670","610","30"
"228778","The University of Texas at Austin","2015","Texas","UT Austin |IRRIS Dept","39","47","42392","16633","7743","690","720","690","32"
"228875","Texas Christian University","2015","Texas","TCU","43","26","18423","7974","2078","630","650","640","30"
"229115","Texas Tech University","2015","Texas","","63","36","23010","14510","5160","600","620","570","27"
"230764","University of Utah","2015","Utah","The U","81","34","12174","9913","3410","640","660","620","28"
"233921","Virginia Polytechnic Institute and State University","2015","Virginia","Virginia Tech","73","39","22280","16355","6324","640","680","630",
"234076","University of Virginia-Main Campus","2015","Virginia","University of Virginia |UVa |UVA","30","40","30840","9186","3674","720","740","720","33"
"236939","Washington State University","2015","Washington","","80","30","19766","15742","4727","570","580","550","26"
"236948","University of Washington-Seattle Campus","2015","Washington","UW-Seattle, UDub, UW, Washington","53","35","36840","19646","6789","660","710","650","31"
"238032","West Virginia University","2015","West Virginia","WVU","86","36","15353","13174","4782","560","580",,"27"
"240444","University of Wisconsin-Madison","2015","Wisconsin","","58","39","28007","16134","6269","660","750","690","31"
"243744","Stanford University","2015","California","","5","80","42497","2140","1720","780","800","780","35"
"243780","Purdue University-Main Campus","2015","Indiana","Purdue-West Lafayette|Purdue|PU|Purdue-WL","59","26","45264","26692","6942","630","700","630","31"
