"unitid","institution name","year","HD2015.State abbreviation","HD2015.Institution name alias","DRVADM2015_RV.Percent admitted - total","DRVADM2015_RV.Admissions yield - total","ADM2015_RV.Applicants total","ADM2015_RV.Admissions total","ADM2015_RV.Enrolled total","ADM2015_RV.SAT Critical Reading 75th percentile score","ADM2015_RV.SAT Math 75th percentile score","ADM2015_RV.SAT Writing 75th percentile score","ADM2015_RV.ACT Composite 75th percentile score"
"100751","The University of Alabama","2015","Alabama","","54","37","36203","19400","7211","600","610","600","31"
"100858","Auburn University","2015","Alabama","","78","33","19414","15077","4902","630","650","620","30"
"104151","Arizona State University-Tempe","2015","Arizona","ASU Tempe, ASU Main","83","40","25380","21042","8348","630","640",,"28"
"104179","University of Arizona","2015","Arizona","UA|U of A|Arizona|UofA|The University of Arizona|University of Arizona|University of Az|AZ|Univ. of Arizona|Univ. of Az|Tucson|Tucson, AZ|the university of Arizona|the Univ. of Az|the U of AZ|the U of Az|Ariz.|Arizona University|Az+university|85721|AZ+univ|AZ university|","76","30","35408","27061","8037",,,,
"106397","University of Arkansas","2015","Arkansas","University of Arkansas|Arkansas","60","40","20542","12337","4915","600","620",,"28"
"110635","University of California-Berkeley","2015","California","UC Berkeley","17","42","78893","13320","5550","740","770","760","34"
"110662","University of California-Los Angeles","2015","California","UCLA","17","35","92690","16016","5679","710","760","730","33"
"123961","University of Southern California","2015","California","USC","18","32","51924","9181","2949","730","770","750","33"
"126614","University of Colorado Boulder","2015","Colorado","U of Colorado|Univ of Colorado|University of Colorado|U of CO|Univ of CO|University of CO|Boulder|CU|CU-Boulder|UCB|CUB|Colorado|Colorado University|U of Colo|Univ of Colo|University of Colo|Colo|Buffs|Buffalos|Buffaloes|CU at Boulder|Golden Buffs|University of Colorado at Boulder","80","25","31325","24941","6208","640","660",,"30"
"134097","Florida State University","2015","Florida","Florida State|F.S.U.|FSU|F. S. U.|Fla. State University|Fla. State|Fl State University|Fl State|FL State University|FL State|Seminoles|Noles|Florida State Seminoles|Florida State University Seminoles|Fl. State|Fl. State University|The Florida State University|Floridia State University|Florda State University|Florida State Univerisity|Flordia State University|Florida State Unversity|","56","37","29828","16674","6100","640","640","640","29"
"134130","University of Florida","2015","Florida","","48","50","29220","13892","6887","670","680","670","31"
"135726","University of Miami","2015","Florida","","38","17","33420","12629","2084","690","700","680","32"
"139755","Georgia Institute of Technology-Main Campus","2015","Georgia","Georgia Tech","32","35","27277","8775","3089","730","770","730","33"
"139959","University of Georgia","2015","Georgia","","53","45","21945","11604","5274","660","670","660","30"
"145637","University of Illinois at Urbana-Champaign","2015","Illinois","Illinois|Illinios|Ilinois|Ilinios|Urbana|Champaign|Champagne|Champaign-Urbana|Champagne-Urbana|Urbana-Champaign|Urbana-Champagne|University of Illinois at Urbana|University of Illinois at Champaign|University of Illinois at Champagne|University of Illinois at Champaign-Urbana|University of Illinois at Champagne-Urbana|UIUC|UICU|University of Illinois at UC|University of Illinois at CU","66","34","34277","22471","7562","680","790","690","31"
