year,school,winpct,wontitle,rank,top15,top5
1999,Georgia,0.666666666666666,0,16,0,0
1999,Kentucky,0.5,0,1000,0,0
1999,LSU,0.272727272727272,0,1000,0,0
1999,Ole Miss,0.666666666666666,0,22,0,0
1999,Mississippi State,0.833333333333333,0,13,1,0
1999,Missouri,0.363636363636363,0,1000,0,0
1999,South Carolina,0,0,1000,0,0
1999,Tennessee,0.75,0,9,1,0
1999,Texas A&M,0.666666666666666,0,23,0,0
1999,Vanderbilt,0.454545454545454,0,1000,0,0
2000,Boston College,0.583333333333333,0,1000,0,0
2000,Clemson,0.75,0,16,0,0
2000,Duke,0,0,1000,0,0
2000,Florida State,0.846153846153846,0,5,1,1
2000,Georgia Tech,0.75,0,17,0,0
2000,Miami,0.916666666666666,0,2,1,1
2000,North Carolina,0.545454545454545,0,1000,0,0
2000,NC State,0.666666666666666,0,1000,0,0
2000,Pittsburgh,0.583333333333333,0,1000,0,0
2000,Syracuse,0.545454545454545,0,1000,0,0
2000,Virginia,0.5,0,1000,0,0
2000,Virginia Tech,0.916666666666666,0,6,1,0
2000,Wake Forest,0.181818181818181,0,1000,0,0
2000,Notre Dame,0.75,0,15,1,0
2000,Illinois,0.454545454545454,0,1000,0,0
2000,Indiana,0.272727272727272,0,1000,0,0
2000,Iowa,0.25,0,1000,0,0
2000,Michigan,0.75,0,11,1,0
2000,Michigan State,0.454545454545454,0,1000,0,0
2000,Minnesota,0.5,0,1000,0,0
2000,Nebraska,0.833333333333333,0,8,1,0
2000,Northwestern,0.666666666666666,0,1000,0,0
2000,Ohio State,0.666666666666666,0,1000,0,0
2000,Penn State,0.416666666666666,0,1000,0,0
2000,Purdue,0.666666666666666,0,13,1,0
2000,Wisconsin,0.692307692307692,0,23,0,0
2000,Baylor,0.181818181818181,0,1000,0,0
2000,Iowa State,0.75,0,25,0,0
2000,Kansas,0.363636363636363,0,1000,0,0
2000,Kansas State,0.785714285714285,0,9,1,0
2000,Oklahoma,1,1,1,1,1
2000,Oklahoma State,0.272727272727272,0,1000,0,0
2000,TCU,0.833333333333333,0,21,0,0
2000,Texas,0.75,0,12,1,0
2000,Texas Tech,0.538461538461538,0,1000,0,0
2000,West Virginia,0.583333333333333,0,1000,0,0
2000,Arizona,0.454545454545454,0,1000,0,0
2000,Arizona State,0.5,0,1000,0,0
2000,California,0.272727272727272,0,1000,0,0
2000,UCLA,0.5,0,1000,0,0
2000,Colorado,0.272727272727272,0,1000,0,0
2000,Oregon,0.833333333333333,0,7,1,0
2000,Oregon State,0.916666666666666,0,4,1,1
2000,USC,0.416666666666666,0,1000,0,0
2000,Stanford,0.454545454545454,0,1000,0,0
2000,Utah,0.363636363636363,0,1000,0,0
2000,Washington,0.916666666666666,0,3,1,1
2000,Washington State,0.363636363636363,0,1000,0,0
2000,Alabama,0.272727272727272,0,1000,0,0
2000,Arkansas,0.5,0,1000,0,0
2000,Auburn,0.692307692307692,0,18,0,0
2000,Florida,0.769230769230769,0,10,1,0
2000,Georgia,0.666666666666666,0,20,0,0
2000,Kentucky,0.181818181818181,0,1000,0,0
2000,LSU,0.666666666666666,0,22,0,0
2000,Ole Miss,0.583333333333333,0,1000,0,0
2000,Mississippi State,0.666666666666666,0,24,0,0
2000,Missouri,0.272727272727272,0,1000,0,0
2000,South Carolina,0.666666666666666,0,19,0,0
2000,Tennessee,0.666666666666666,0,1000,0,0
2000,Texas A&M,0.583333333333333,0,1000,0,0
2000,Vanderbilt,0.272727272727272,0,1000,0,0
2001,Boston College,0.666666666666666,0,1000,0,0
2001,Clemson,0.583333333333333,0,1000,0,0
2001,Duke,0,0,1000,0,0
2001,Florida State,0.666666666666666,0,24,0,0
2001,Georgia Tech,0.615384615384615,0,1000,0,0
2001,Miami,1,1,1,1,1
2001,North Carolina,0.615384615384615,0,1000,0,0
2001,NC State,0.583333333333333,0,1000,0,0
2001,Pittsburgh,0.583333333333333,0,1000,0,0
2001,Syracuse,0.769230769230769,0,18,0,0
2001,Virginia,0.416666666666666,0,1000,0,0
2001,Virginia Tech,0.666666666666666,0,15,1,0
2001,Wake Forest,0.545454545454545,0,1000,0,0
2001,Notre Dame,0.454545454545454,0,1000,0,0
2001,Illinois,0.833333333333333,0,7,1,0
2001,Indiana,0.454545454545454,0,1000,0,0
2001,Iowa,0.583333333333333,0,1000,0,0
2001,Michigan,0.666666666666666,0,17,0,0
2001,Michigan State,0.583333333333333,0,1000,0,0
2001,Minnesota,0.363636363636363,0,1000,0,0
2001,Nebraska,0.846153846153846,0,4,1,1
2001,Northwestern,0.363636363636363,0,1000,0,0
2001,Ohio State,0.583333333333333,0,22,0,0
2001,Penn State,0.454545454545454,0,1000,0,0
2001,Purdue,0.5,0,1000,0,0
2001,Wisconsin,0.416666666666666,0,1000,0,0
2001,Baylor,0.272727272727272,0,1000,0,0
2001,Iowa State,0.583333333333333,0,1000,0,0
2001,Kansas,0.272727272727272,0,1000,0,0
2001,Kansas State,0.5,0,1000,0,0
2001,Oklahoma,0.846153846153846,0,10,1,0
2001,Oklahoma State,0.363636363636363,0,1000,0,0
2001,TCU,0.5,0,1000,0,0
2001,Texas,0.846153846153846,0,9,1,0
2001,Texas Tech,0.583333333333333,0,1000,0,0
2001,West Virginia,0.272727272727272,0,1000,0,0
2001,Arizona,0.454545454545454,0,1000,0,0
2001,Arizona State,0.363636363636363,0,1000,0,0
2001,California,0.0909090909090909,0,1000,0,0
2001,UCLA,0.636363636363636,0,1000,0,0
2001,Colorado,0.769230769230769,0,3,1,1
2001,Oregon,0.916666666666666,0,2,1,1
2001,Oregon State,0.454545454545454,0,1000,0,0
2001,USC,0.5,0,1000,0,0
2001,Stanford,0.75,0,11,1,0
2001,Utah,0.666666666666666,0,1000,0,0
2001,Washington,0.666666666666666,0,21,0,0
2001,Washington State,0.833333333333333,0,13,1,0
2001,Alabama,0.583333333333333,0,1000,0,0
2001,Arkansas,0.583333333333333,0,1000,0,0
2001,Auburn,0.583333333333333,0,1000,0,0
2001,Florida,0.833333333333333,0,5,1,1
2001,Georgia,0.666666666666666,0,16,0,0
2001,Kentucky,0.181818181818181,0,1000,0,0
2001,LSU,0.769230769230769,0,12,1,0
2001,Ole Miss,0.636363636363636,0,1000,0,0
2001,Mississippi State,0.272727272727272,0,1000,0,0
2001,Missouri,0.363636363636363,0,1000,0,0
2001,South Carolina,0.75,0,14,1,0
2001,Tennessee,0.846153846153846,0,8,1,0
2001,Texas A&M,0.666666666666666,0,1000,0,0
2001,Vanderbilt,0.181818181818181,0,1000,0,0
2002,Boston College,0.692307692307692,0,1000,0,0
2002,Clemson,0.538461538461538,0,1000,0,0
2002,Duke,0.166666666666666,0,1000,0,0
2002,Florida State,0.642857142857142,0,16,0,0
2002,Georgia Tech,0.538461538461538,0,1000,0,0
2002,Miami,0.923076923076923,0,1,1,1
2002,North Carolina,0.25,0,1000,0,0
2002,NC State,0.785714285714285,0,17,0,0
2002,Pittsburgh,0.692307692307692,0,24,0,0
2002,Syracuse,0.333333333333333,0,1000,0,0
2002,Virginia,0.642857142857142,0,1000,0,0
2002,Virginia Tech,0.714285714285714,0,21,0,0
2002,Wake Forest,0.538461538461538,0,1000,0,0
2002,Notre Dame,0.769230769230769,0,11,1,0
2002,Illinois,0.416666666666666,0,1000,0,0
2002,Indiana,0.25,0,1000,0,0
2002,Iowa,0.846153846153846,0,3,1,1
2002,Michigan,0.769230769230769,0,12,1,0
2002,Michigan State,0.333333333333333,0,1000,0,0
2002,Minnesota,0.615384615384615,0,1000,0,0
2002,Nebraska,0.5,0,1000,0,0
2002,Northwestern,0.25,0,1000,0,0
2002,Ohio State,1,1,2,1,1
2002,Penn State,0.692307692307692,0,10,1,0
2002,Purdue,0.538461538461538,0,1000,0,0
2002,Wisconsin,0.571428571428571,0,1000,0,0
2002,Baylor,0.25,0,1000,0,0
2002,Iowa State,0.5,0,1000,0,0
2002,Kansas,0.166666666666666,0,1000,0,0
2002,Kansas State,0.846153846153846,0,6,1,0
2002,Oklahoma,0.857142857142857,0,8,1,0
2002,Oklahoma State,0.615384615384615,0,1000,0,0
2002,TCU,0.833333333333333,0,1000,0,0
2002,Texas,0.846153846153846,0,9,1,0
2002,Texas Tech,0.642857142857142,0,1000,0,0
2002,West Virginia,0.692307692307692,0,15,1,0
2002,Arizona,0.333333333333333,0,1000,0,0
2002,Arizona State,0.571428571428571,0,1000,0,0
2002,California,0.583333333333333,0,1000,0,0
2002,UCLA,0.615384615384615,0,1000,0,0
2002,Colorado,0.642857142857142,0,14,1,0
2002,Oregon,0.538461538461538,0,1000,0,0
2002,Oregon State,0.615384615384615,0,1000,0,0
2002,USC,0.846153846153846,0,5,1,1
2002,Stanford,0.181818181818181,0,1000,0,0
2002,Utah,0.454545454545454,0,1000,0,0
2002,Washington,0.538461538461538,0,1000,0,0
2002,Washington State,0.769230769230769,0,7,1,0
2002,Alabama,0.769230769230769,0,13,1,0
2002,Arkansas,0.642857142857142,0,25,0,0
2002,Auburn,0.692307692307692,0,19,0,0
2002,Florida,0.615384615384615,0,22,0,0
2002,Georgia,0.928571428571428,0,4,1,1
2002,Kentucky,0.583333333333333,0,1000,0,0
2002,LSU,0.615384615384615,0,1000,0,0
2002,Ole Miss,0.538461538461538,0,1000,0,0
2002,Mississippi State,0.25,0,1000,0,0
2002,Missouri,0.416666666666666,0,1000,0,0
2002,South Carolina,0.416666666666666,0,1000,0,0
2002,Tennessee,0.615384615384615,0,1000,0,0
2002,Texas A&M,0.5,0,1000,0,0
2002,Vanderbilt,0.166666666666666,0,1000,0,0
2003,Boston College,0.615384615384615,0,1000,0,0
2003,Clemson,0.692307692307692,0,22,0,0
2003,Duke,0.333333333333333,0,1000,0,0
2003,Florida State,0.769230769230769,0,11,1,0
2003,Georgia Tech,0.538461538461538,0,1000,0,0
2003,Miami,0.846153846153846,0,5,1,1
2003,North Carolina,0.166666666666666,0,1000,0,0
2003,NC State,0.615384615384615,0,1000,0,0
2003,Pittsburgh,0.615384615384615,0,1000,0,0
2003,Syracuse,0.5,0,1000,0,0
2003,Virginia,0.615384615384615,0,1000,0,0
