"unitid","institution name","year","HD2014.State abbreviation","HD2014.Institution name alias","DRVADM2014_RV.Percent admitted - total","DRVADM2014_RV.Admissions yield - total","ADM2014_RV.Applicants total","ADM2014_RV.Admissions total","ADM2014_RV.Enrolled total","ADM2014_RV.SAT Critical Reading 75th percentile score","ADM2014_RV.SAT Math 75th percentile score","ADM2014_RV.SAT Writing 75th percentile score","ADM2014_RV.ACT Composite 75th percentile score"
"209542","Oregon State University","2014","Oregon","OSU","78","34","14116","10976","3718","610","620","590","28"
"209551","University of Oregon","2014","Oregon","UO","75","25","21359","15997","3961","610","620","600","27"
"214777","Pennsylvania State University-Main Campus","2014","Pennsylvania","Penn State","50","32","50299","25295","8183","620","670","640","29"
"215293","University of Pittsburgh-Pittsburgh Campus","2014","Pennsylvania","","53","24","30629","16271","3847","670","690","670","31"
"217882","Clemson University","2014","South Carolina","","52","32","20756","10694","3475","660","680","650","31"
"218663","University of South Carolina-Columbia","2014","South Carolina","","65","33","23342","15219","4983","640","660",,"29"
"221759","The University of Tennessee-Knoxville","2014","Tennessee","","75","41","15442","11555","4701","630","640",,"29"
"221999","Vanderbilt University","2014","Tennessee","","13","42","29518","3865","1605","780","800","770","34"
"223232","Baylor University","2014","Texas","","55","19","33898","18766","3625","660","670","640","30"
"228723","Texas A & M University-College Station","2014","Texas","Texas A&M | TAMU","71","47","32190","22863","10835","640","670","610","30"
"228778","The University of Texas at Austin","2014","Texas","UT Austin |IRRIS Dept","40","47","38785","15381","7285","690","720","690","32"
"228875","Texas Christian University","2014","Texas","TCU","49","23","17029","8322","1891","630","650","650","30"
"229115","Texas Tech University","2014","Texas","","66","39","21873","14464","5619","590","610","560","27"
"230764","University of Utah","2014","Utah","The U","81","35","10991","8949","3158","640","650","610","28"
"233921","Virginia Polytechnic Institute and State University","2014","Virginia","Virginia Tech","73","36","20744","15067","5494","640","680","640",
"234076","University of Virginia-Main Campus","2014","Virginia","University of Virginia |UVa |UVA","29","41","31021","8997","3709","720","740","720","33"
"236939","Washington State University","2014","Washington","","82","34","14887","12219","4163","570","580","550","25"
"236948","University of Washington-Seattle Campus","2014","Washington","UW-Seattle, UDub, UW, Washington","55","36","31611","17451","6360","650","700","640","31"
"238032","West Virginia University","2014","West Virginia","WVU","86","36","15604","13386","4868","560","580",,"26"
"240444","University of Wisconsin-Madison","2014","Wisconsin","","57","43","25438","14484","6264","660","740","680","31"
"243744","Stanford University","2014","California","","5","78","42167","2145","1678","780","790","790","34"
"243780","Purdue University-Main Campus","2014","Indiana","Purdue-West Lafayette|Purdue|PU|Purdue-WL","59","27","39896","23654","6500","630","700","630","30"
