"unitid","institution name","year","HD2007.State abbreviation","HD2007.Institution name alias","DRVIC2007.Percent admitted - total","DRVIC2007.Admissions yield - total","IC2007.Applicants total","IC2007.Admissions total","IC2007.Enrolled total","IC2007.SAT Critical Reading 75th percentile score","IC2007.SAT Math 75th percentile score","IC2007.SAT Writing 75th percentile score","IC2007.ACT Composite 75th percentile score"
"215293","University of Pittsburgh-Pittsburgh Campus","2007","Pennsylvania",,"56","34","18195","10160","3420","660","660",,"29"
"217882","Clemson University","2007","South Carolina",,"55","41","12784","6990","2866","640","670","630","29"
"218663","University of South Carolina-Columbia","2007","South Carolina",,"63","42","13946","8782","3697","620","640",,"28"
"221759","The University of Tennessee-Knoxville","2007","Tennessee",,"71","48","12606","9009","4351","630","640",,"28"
"221999","Vanderbilt University","2007","Tennessee",,"33","39","12911","4238","1673","740","740","730","33"
"223232","Baylor University","2007","Texas",,"44","23","26514","11668","2732","650","660",,"28"
"228723","Texas A & M University-College Station","2007","Texas","Texas A&M | TAMU","72","60","18778","13530","8076","630","670","610","28"
"228778","The University of Texas at Austin","2007","Texas","UT Austin |University of Texas","51","54","27237","13800","7478","660","690","640","28"
"228875","Texas Christian University","2007","Texas",,"49","28","11888","5812","1644","620","640","620","28"
"229115","Texas Tech University","2007","Texas",,"90","42","11961","10759","4496","580","610","560","26"
"230764","University of Utah","2007","Utah","The U","91","48","6557","5962","2838","630","640",,"27"
"233921","Virginia Polytechnic Institute and State University","2007","Virginia","Virginia Tech","67","39","19429","13031","5122","630","670","630",
"234076","University of Virginia-Main Campus","2007","Virginia","University of Virginia |UVa |UVA","35","52","17800","6274","3245","700","720","700",
"236939","Washington State University","2007","Washington",,"76","42","10853","8240","3477","600","610","570","26"
"236948","University of Washington-Seattle Campus","2007","Washington","UW-Seattle, UDub, UW, Washington","65","46","17808","11511","5325","650","670",,"29"
"238032","West Virginia University","2007","West Virginia","WVU","40","100","12047","4828","4828","560","580",,"26"
"240444","University of Wisconsin-Madison","2007","Wisconsin",,"66","42","20436","13403","5643","670","710","670","30"
"243744","Stanford University","2007","California",,"10","70","23958","2464","1723","760","790","760","33"
"243780","Purdue University-Main Campus","2007","Indiana","Purdue-West Lafayette|Purdue|PU|Purdue-WL","79","34","25929","20429","6914","610","660","590","28"
