"unitid","institution name","year","HD2013.State abbreviation","HD2013.Institution name alias","DRVIC2013_RV.Percent admitted - total","DRVIC2013_RV.Admissions yield - total","IC2013_RV.Applicants total","IC2013_RV.Admissions total","IC2013_RV.Enrolled total","IC2013_RV.SAT Critical Reading 75th percentile score","IC2013_RV.SAT Math 75th percentile score","IC2013_RV.SAT Writing 75th percentile score","IC2013_RV.ACT Composite 75th percentile score"
"159391","Louisiana State University and Agricultural & Mechanical College","2013","Louisiana","Louisiana State University|LSU","76","46","16169","12326","5725","620","630",,"28"
"163259","University of Maryland, Baltimore","2013","Maryland","",,,,,,,,,
"164924","Boston College","2013","Massachusetts","","32","28","24538","7905","2215","710","740","730","33"
"170976","University of Michigan-Ann Arbor","2013","Michigan","U of Michigan|U of M|Univ of Michigan|U Michigan Ann Arbor|University of Michigan Ann Arbor","33","40","46813","15570","6200","720","760","730","32"
"171100","Michigan State University","2013","Michigan","MSU|Spartans|MI State University|State|MI State U","69","37","31479","21610","8061","580","690","580","28"
"174066","University of Minnesota-Twin Cities","2013","Minnesota","","44","29","43048","19121","5544","690","740","670","30"
"176017","University of Mississippi","2013","Mississippi","Ole Miss","81","31","14258","11484","3582","590","600",,"27"
"176080","Mississippi State University","2013","Mississippi","","65","44","11191","7254","3156","620","630",,"28"
"178396","University of Missouri-Columbia","2013","Missouri","","79","38","20956","16473","6194","640","650",,"28"
"181464","University of Nebraska-Lincoln","2013","Nebraska","","64","63","10929","6999","4420","660","670",,"28"
"186380","Rutgers University-New Brunswick","2013","New Jersey","Rutgers, The State University of New Jersey|Rutgers, The State University|Rutgers University|Rutgers, New Brunswick Campus|Rutgers-New Brunswick Campus|Rutgers-New Jersey|Rutgers, The State University New Brunswick/Piscataway Campus|Rutgers, New Brunswick|Rutgers|RU|Rutgers, New Jersey","60","35","30631","18230","6337","640","690","650",
"196413","Syracuse University","2013","New York","","49","25","28269","13990","3487","620","650","630","28"
"198419","Duke University","2013","North Carolina","","13","42","30374","4077","1714","760","790","780","34"
"199120","University of North Carolina at Chapel Hill","2013","North Carolina","","28","50","28437","7847","3915","700","710","690","32"
"199193","North Carolina State University at Raleigh","2013","North Carolina","NC State University | NC State | N C State University | N C State | NCSU","50","42","20700","10353","4398","640","670","620","30"
"199847","Wake Forest University","2013","North Carolina","","35","31","11121","3915","1232",,,,
"204796","Ohio State University-Main Campus","2013","Ohio","","56","41","31359","17413","7130","660","720","660","31"
"207388","Oklahoma State University-Main Campus","2013","Oklahoma","","76","46","11064","8411","3872","590","620",,"28"
"207500","University of Oklahoma-Norman Campus","2013","Oklahoma","University of Oklahoma|Oklahoma University|OU|Oklahoma","80","46","10991","8841","4052","630","650",,"29"
"209542","Oregon State University","2013","Oregon","OSU","79","36","12414","9799","3516","600","630",,"27"
"209551","University of Oregon","2013","Oregon","UO","74","26","21263","15770","4031","600","620",,"27"
"214777","Pennsylvania State University-Main Campus","2013","Pennsylvania","Penn State","54","30","47552","25772","7649","630","670","640","29"
"215293","University of Pittsburgh-Pittsburgh Campus","2013","Pennsylvania","","56","26","24871","13959","3678","660","680","660","30"
"217882","Clemson University","2013","South Carolina","","58","32","18500","10706","3463","660","680","610","31"
"218663","University of South Carolina-Columbia","2013","South Carolina","","61","33","23429","14199","4625","640","650",,"29"
"221759","The University of Tennessee-Knoxville","2013","Tennessee","","72","41","14396","10435","4276","640","650",,"29"
"221999","Vanderbilt University","2013","Tennessee","","13","41","31099","3963","1613","780","790","770","34"
"223232","Baylor University","2013","Texas","","57","19","29249","16809","3190","660","670","640","29"
"228723","Texas A & M University-College Station","2013","Texas","Texas A&M | TAMU","69","47","31387","21803","10241","630","660","610","29"
"228778","The University of Texas at Austin","2013","Texas","UT Austin |University of Texas","40","47","38161","15335","7249","670","710","680","31"
"228875","Texas Christian University","2013","Texas","TCU","47","22","18551","8791","1936","620","650","640","29"
"229115","Texas Tech University","2013","Texas","","66","38","19170","12709","4785","590","620","560","27"
"230764","University of Utah","2013","Utah","The U","82","34","11354","9281","3124","620","648","610","27"
"233921","Virginia Polytechnic Institute and State University","2013","Virginia","Virginia Tech","70","40","19112","13432","5364","640","680","640",
"234076","University of Virginia-Main Campus","2013","Virginia","University of Virginia |UVa |UVA","30","41","28984","8691","3520","720","740","720","33"
"236939","Washington State University","2013","Washington","","82","34","14887","12219","4163","570","580","550","25"
"236948","University of Washington-Seattle Campus","2013","Washington","UW-Seattle, UDub, UW, Washington","55","37","30199","16679","6253","650","710","640","30"
"238032","West Virginia University","2013","West Virginia","WVU","85","37","16521","14060","5135","560","580",,"26"
"240444","University of Wisconsin-Madison","2013","Wisconsin","","68","40","23324","15841","6279","650","750","670","30"
"243744","Stanford University","2013","California","","6","76","38828","2208","1677","780","790","780","34"
"243780","Purdue University-Main Campus","2013","Indiana","Purdue-West Lafayette|Purdue|PU|Purdue-WL","60","34","31083","18779","6422","630","690","630","30"
