"unitid","institution name","year","HD2013.State abbreviation","HD2013.Institution name alias","DRVIC2013_RV.Percent admitted - total","DRVIC2013_RV.Admissions yield - total","IC2013_RV.Applicants total","IC2013_RV.Admissions total","IC2013_RV.Enrolled total","IC2013_RV.SAT Critical Reading 75th percentile score","IC2013_RV.SAT Math 75th percentile score","IC2013_RV.SAT Writing 75th percentile score","IC2013_RV.ACT Composite 75th percentile score"
"100751","The University of Alabama","2013","Alabama","","57","37","30975","17515","6454","620","640","600","30"
"100858","Auburn University","2013","Alabama","","83","29","15745","13027","3726","620","650","620","30"
"104151","Arizona State University-Tempe","2013","Arizona","ASU Tempe","80","41","21770","17465","7171","620","650",,"28"
"104179","University of Arizona","2013","Arizona","UA|U of A|Arizona|UofA|The University of Arizona|University of Arizona|University of Az|AZ|Univ. of Arizona|Univ. of Az|Tucson|Tucson, AZ|the university of Arizona|the Univ. of Az|the U of AZ|the U of Az|Ariz.|Arizona University|Az+university|85721|AZ+univ|AZ university|","77","37","26329","20251","7401","600","630","590","27"
"106397","University of Arkansas","2013","Arkansas","University of Arkansas|Arkansas","59","39","18908","11076","4339","600","630",,"28"
"110635","University of California-Berkeley","2013","California","UC Berkeley","18","37","61717","11108","4162","720","770","750","33"
"110662","University of California-Los Angeles","2013","California","UCLA","22","35","72676","15981","5620","680","760","710","31"
"123961","University of Southern California","2013","California","USC","20","31","47358","9395","2922","720","760","750","33"
"126614","University of Colorado Boulder","2013","Colorado","U of Colorado|Univ of Colorado|University of Colorado|U of CO|Univ of CO|University of CO|Boulder|CU|CU-Boulder|UCB|CUB|Colorado|Colorado University|U of Colo|Univ of Colo|University of Colo|Colo|Buffs|Buffalos|Buffaloes|CU at Boulder|Golden Buffs|University of Colorado at Boulder","88","30","22473","19710","5846","630","650",,"29"
"134097","Florida State University","2013","Florida","Florida State|F.S.U.|FSU|F. S. U.|Fla. State University|Fla. State|Fl State University|Fl State|FL State University|FL State|Seminoles|Noles|Florida State Seminoles|Florida State University Seminoles|Fl. State|Fl. State University|The Florida State University|Floridia State University|Florda State University|Florida State Univerisity|Flordia State University|Florida State Unversity|","57","36","29579","16803","6048","640","640","640","29"
"134130","University of Florida","2013","Florida","","47","51","27107","12618","6373","670","690","680","31"
"135726","University of Miami","2013","Florida","","40","18","28907","11691","2140","700","720","690","32"
"139755","Georgia Institute of Technology-Main Campus","2013","Georgia","Georgia Tech","55","38","14645","8045","3044","700","760","700","32"
"139959","University of Georgia","2013","Georgia","","56","48","18458","10352","4936","660","670","670","30"
"145637","University of Illinois at Urbana-Champaign","2013","Illinois","Illinois|Illinios|Ilinois|Ilinios|Urbana|Champaign|Champagne|Champaign-Urbana|Champagne-Urbana|Urbana-Champaign|Urbana-Champagne|University of Illinois at Urbana|University of Illinois at Champaign|University of Illinois at Champagne|University of Illinois at Champaign-Urbana|University of Illinois at Champagne-Urbana|UIUC|UICU|University of Illinois at UC|University of Illinois at CU","62","35","33203","20716","7329","670","780","670","31"
"147767","Northwestern University","2013","Illinois","","15","41","32060","4912","2037","760","790","770","34"
"151351","Indiana University-Bloomington","2013","Indiana","IU|IUB|IU Bloomington|","72","28","37826","27300","7604","630","660","620","30"
"152080","University of Notre Dame","2013","Indiana","Notre Dame | Fighting Irish | ND","22","53","17647","3936","2070","750","770",,"34"
"153603","Iowa State University","2013","Iowa","ISU","83","39","16539","13648","5366","620","680",,"28"
"153658","University of Iowa","2013","Iowa","Iowa|UI","80","26","21642","17363","4460","620","680",,"28"
"155317","University of Kansas","2013","Kansas","University of Kansas | Univ of Kansas | Kansas University | KU | Kansas Jayhawks | Univ of KS |University of KS | Kansas Univ | Kansas U, KUMC, University of Kansas Medical Center, KU Medical Center, Kansas University Medical Center","92","33","12389","11433","3771",,,,"28"
"155399","Kansas State University","2013","Kansas","K-State","96","40","9839","9437","3821",,,,
"157085","University of Kentucky","2013","Kentucky","","69","35","19810","13592","4702","610","630",,"28"
"157289","University of Louisville","2013","Kentucky","","71","44","9166","6519","2857","580","610","580","28"
