"unitid","institution name","year","HD2019.Institution name alias","HD2019.State abbreviation","DRVADM2019.Percent admitted - total","DRVADM2019.Admissions yield - total","ADM2019.Applicants total","ADM2019.Admissions total","ADM2019.Enrolled total","ADM2019.SAT Evidence-Based Reading and Writing 75th percentile score","ADM2019.SAT Math 75th percentile score","ADM2019.ACT Composite 75th percentile score"
"215293","University of Pittsburgh-Pittsburgh Campus","2019","","Pennsylvania","57","22","32091","18180","4026","700","740","33"
"217882","Clemson University","2019","","South Carolina","51","26","29070","14900","3932","690","710","32"
"218663","University of South Carolina-Columbia","2019","","South Carolina","69","29","31268","21464","6286","680","690","31"
"221759","The University of Tennessee-Knoxville","2019","","Tennessee","79","31","21764","17160","5254","660","670","30"
"221999","Vanderbilt University","2019","","Tennessee","9","47","37310","3402","1604","760","800","35"
"223232","Baylor University","2019","","Texas","45","21","34582","15676","3307","680","700","32"
"228723","Texas A & M University-College Station","2019","Texas A&M | TAMU","Texas","58","43","42476","24549","10613","680","710","31"
"228778","The University of Texas at Austin","2019","UT Austin","Texas","32","48","53525","17029","8170","720","760","33"
"228875","Texas Christian University","2019","TCU","Texas","47","24","19028","8966","2159","670","680","31"
"229115","Texas Tech University","2019","","Texas","69","35","25384","17493","6145","630","630","27"
"230764","University of Utah","2019","The U","Utah","62","28","24404","15159","4249","680","700","29"
"233921","Virginia Polytechnic Institute and State University","2019","Virginia Tech","Virginia","70","34","31974","22393","7651","680","710","31"
"234076","University of Virginia-Main Campus","2019","University of Virginia  UVa  UVA","Virginia","24","40","40839","9778","3920","740","780","34"
"236939","Washington State University","2019","","Washington","76","30","21434","16247","4812","620","610","26"
"236948","University of Washington-Seattle Campus","2019","UW-Seattle, UDub, UW, Washington","Washington","52","30","45579","23592","6992","700","770","33"
"238032","West Virginia University","2019","","West Virginia","84","32","18202","15340","4949","620","610","27"
"240444","University of Wisconsin-Madison","2019","","Wisconsin","54","32","43896","23886","7550","700","780","32"
"243744","Stanford University","2019","","California","4","82","47498","2062","1698","770","800","35"
"243780","Purdue University-Main Campus","2019","Purdue-West Lafayette|Purdue|PU|Purdue-WL","Indiana","60","25","55311","33093","8195","690","750","32"
