"unitid","institution name","year","HD2006.State abbreviation","HD2006.Institution name alias","DRVIC2006.Percent admitted - total","DRVIC2006.Admissions yield - total","IC2006.Applicants total","IC2006.Admissions total","IC2006.Enrolled total","IC2006.SAT Critical Reading 75th percentile score","IC2006.SAT Math 75th percentile score","IC2006.SAT Writing 75th percentile score","IC2006.ACT Composite 75th percentile score"
"100751","The University of Alabama","2006","Alabama",,"70","50","12522","8770","4378","630","630",,"27"
"100858","Auburn University","2006","Alabama",,"72","35","15919","11538","4092","600","630",,"27"
"104151","Arizona State University-Tempe","2006","Arizona","ASU Tempe|ASU Tempe Campus|ASU at the Tempe Campus","92","41","20702","19133","7894","600","620",,"26"
"104179","University of Arizona","2006","Arizona","UA|U of A|Arizona|UofA|The University of Arizona|University of Arizona|University of Az|AZ|Univ. of Arizona|Univ. of Az|Tucson|Tucson, AZ|the university of Arizona|the Univ. of Az|the U of AZ|the U of Az|Ariz.|Arizona University|Az+university|85721|AZ+univ|AZ university|","86","42","16609","14293","6009","600","630",,"26"
"106397","University of Arkansas","2006","Arkansas","University of Arkansas|Arkansas","68","48","8443","5770","2784","630","650",,"28"
"110635","University of California-Berkeley","2006","California","UC Berkeley","27","42","37014","9817","4101","710","740",,"31"
"110662","University of California-Los Angeles","2006","California","UCLA| UC Los Angeles","27","39","42223","11361","4423","690","720",,"30"
"123961","University of Southern California","2006","California",,"25","32","33973","8634","2763","720","740","720","32"
"126614","University of Colorado Boulder","2006","Colorado","U of Colorado|Univ of Colorado|University of Colorado|U of CO|Univ of CO|University of CO|Boulder|CU|CU-Boulder|UCB|CUB|Colorado|Colorado University|U of Colo|Univ of Colo|University of Colo|Colo|Buffs|Buffalos|Buffaloes|CU at Boulder|Golden Buffs","88","35","18160","15960","5645","630","650",,"28"
"134097","Florida State University","2006","Florida","Florida State|F.S.U.|FSU|F. S. U.|Fla. State University|Fla. State|Fl State University|Fl State|FL State University|FL State|Seminoles|Noles|Florida State Seminoles|Florida State University Seminoles|Fl. State|Fl. State University|The Florida State University|Floridia State University|Florda State University|Florida State Univerisity|Flordia State University|Florida State Unversity|","59","44","23687","14027","6222","620","630",,"27"
"134130","University of Florida","2006","Florida",,"48","63","22093","10652","6702","670","690",,"29"
"135726","University of Miami","2006","Florida",,"40","27","19040","7709","2062","670","690","660","31"
"139755","Georgia Institute of Technology-Main Campus","2006","Georgia","Georgia Tech","67","46","9250","6163","2837","680","720","660","32"
"139959","University of Georgia","2006","Georgia",,"65","59","12326","7982","4712","660","670",,"28"
"145600","University of Illinois at Chicago","2006","Illinois","UIC|U of I-Chicago|Illinois-Chicago|U of I-Medical Center|University of Illinois-Medical Center|","58","38","13000","7559","2852",,,,"26"
"147767","Northwestern University","2006","Illinois",,"30","41","16204","4818","1952","740","760",,"33"
"151351","Indiana University-Bloomington","2006","Indiana","IU|IUB|IU Bloomington|","78","39","26645","20873","8183","610","630",,"27"
"152080","University of Notre Dame","2006","Indiana","Notre Dame | Fighting Irish | ND","27","58","12796","3492","2039","740","760","720","33"
"153603","Iowa State University","2006","Iowa",,"90","46","9101","8216","3769","660","690",,"27"
"153658","University of Iowa","2006","Iowa","Iowa|UI","83","36","14350","11880","4289","650","670",,"27"
"155317","University of Kansas","2006","Kansas","University of Kansas | Univ of Kansas | Kansas University | KU | Kansas Jayhawks | Univ of KS |University of KS | Kansas Univ | Kansas U","74","57","10030","7435","4201",,,,"27"
"155399","Kansas State University","2006","Kansas",,"48","69","9937","4788","3309",,,,"27"
"157085","University of Kentucky","2006","Kentucky",,"77","47","10516","8124","3835","630","640",,"27"
"157289","University of Louisville","2006","Kentucky",,"79","51","5712","4515","2318","620","640",,"27"
"159391","Louisiana State University and Agricultural & Mechanical College","2006","Louisiana","Louisiana State University|LSU","73","63","10825","7927","4970","640","660","620","27"
"163259","University of Maryland, Baltimore","2006","Maryland",,,,,,,,,,
"164924","Boston College","2006","Massachusetts",,"29","30","26584","7736","2284","700","720","710","31"
"170976","University of Michigan-Ann Arbor","2006","Michigan","U of Michigan|U of M|Univ of Michigan|U Michigan Ann Arbor|University of Michigan Ann Arbor","47","44","25806","12246","5386","690","730",,"31"
"171100","Michigan State University","2006","Michigan","MSU|Spartans|MI State University|State|MI State U","73","44","23247","17046","7440","630","660","610","27"
"174066","University of Minnesota-Twin Cities","2006","Minnesota",,"57","38","24663","14165","5439","670","690",,"28"
"176017","University of Mississippi","2006","Mississippi","Ole Miss","73","44","6763","4942","2192","580","600",,"26"
"176080","Mississippi State University","2006","Mississippi",,"69","49","5778","3982","1966",,,,"27"
"178396","University of Missouri-Columbia","2006","Missouri",,"78","47","13102","10228","4838","650","650",,"28"
"181464","University of Nebraska-Lincoln","2006","Nebraska",,"73","66","7993","5858","3849","650","670",,"28"
"186380","Rutgers University-New Brunswick","2006","New Jersey","Rutgers, The State University of New Jersey|Rutgers, The State University|Rutgers University|Rutgers, New Brunswick Campus|Rutgers-New Brunswick Campus|Rutgers-New Jersey|Rutgers, The State University New Brunswick/Piscataway Campus|Rutgers, New Brunswick/Piscataway|Rutgers|RU|Rutgers, New Jersey","58","32","27560","16049","5086","630","680","630",
"196413","Syracuse University","2006","New York",,"51","30","19744","10157","3065","650","680",,"29"
"198419","Duke University","2006","North Carolina",,"24","43","16820","3992","1724","770","790","780","33"
"199120","University of North Carolina at Chapel Hill","2006","North Carolina",,"37","56","18414","6736","3751","690","700",,"31"
"199193","North Carolina State University at Raleigh","2006","North Carolina","NC State University | NC State | N C State University | N C State | NCSU","67","48","13752","9170","4375","620","660",,"28"
"199847","Wake Forest University","2006","North Carolina",,"43","36","7342","3128","1125","690","710",,
"204796","Ohio State University-Main Campus","2006","Ohio",,"65","50","19026","12443","6280","640","670","0","29"
"207388","Oklahoma State University-Main Campus","2006","Oklahoma",,"87","55","6730","5853","3236","610","640",,"27"
"207500","University of Oklahoma-Norman Campus","2006","Oklahoma","University of Oklahoma|Oklahoma University|OU|Oklahoma","83","49","8223","6814","3342",,,,"28"
"209542","Oregon State University","2006","Oregon",,"93","48","6552","6078","2925","590","610",,"26"
"209551","University of Oregon","2006","Oregon",,"90","35","10012","9048","3207","620","620",,
"214777","Pennsylvania State University-Main Campus","2006","Pennsylvania","Penn State","62","35","29904","18423","6496","630","670",,"28"
"215293","University of Pittsburgh-Pittsburgh Campus","2006","Pennsylvania",,"53","34","18153","9654","3249","660","670",,"29"
"217882","Clemson University","2006","South Carolina",,"55","40","12784","6990","2813","640","670",,"29"
"218663","University of South Carolina-Columbia","2006","South Carolina",,"68","42","13023","8812","3734","630","640",,"27"
"221759","The University of Tennessee-Knoxville","2006","Tennessee",,"74","47","12251","9060","4265","630","640","0","28"
"221999","Vanderbilt University","2006","Tennessee",,"35","39","11663","4115","1622","720","740",,"33"
"223232","Baylor University","2006","Texas",,"43","31","21393","9097","2783","650","660","640","28"
"228723","Texas A & M University-College Station","2006","Texas","Texas A&M | TAMU","73","61","17382","12774","7799","630","660","610","28"
"228778","The University of Texas at Austin","2006","Texas","UT Austin| University of Texas","49","56","27315","13307","7417","660","690","640","29"
"228875","Texas Christian University","2006","Texas",,"63","30","8677","5442","1652","620","640",,"28"
"229115","Texas Tech University","2006","Texas",,"70","40","13809","9691","3918","590","620",,"26"
"230764","University of Utah","2006","Utah","The U","85","43","6701","5702","2462","630","630",,"27"
"233921","Virginia Polytechnic Institute and State University","2006","Virginia","Virginia Tech","68","40","18919","12824","5084","630","660","620",
"234076","University of Virginia-Main Campus","2006","Virginia","University of Virginia| UVa| UVA","37","51","16087","6020","3091","710","720","710","31"
"236939","Washington State University","2006","Washington",,"77","40","9314","7177","2856","590","610","570",
"236948","University of Washington-Seattle Campus","2006","Washington","UW-Seattle, UDub, UW, Washington","67","46","15923","10681","4924","650","670",,"28"
"238032","West Virginia University","2006","West Virginia","WVU","92","45","10957","10110","4574","560","580",,"26"
"240444","University of Wisconsin-Madison","2006","Wisconsin",,"73","42","20156","14734","6141","670","700",,"30"
"243744","Stanford University","2006","California",,"11","67","22333","2444","1648","760","780","760","33"
"243780","Purdue University-Main Campus","2006","Indiana","Purdue-West Lafayette|Purdue|PU|Purdue-WL","85","36","24883","21042","7537","600","650","590","28"
