"unitid","institution name","year","HD2010.State abbreviation","HD2010.Institution name alias","DRVIC2010_RV.Percent admitted - total","DRVIC2010_RV.Admissions yield - total","IC2010_RV.Applicants total","IC2010_RV.Admissions total","IC2010_RV.Enrolled total","IC2010_RV.SAT Critical Reading 75th percentile score","IC2010_RV.SAT Math 75th percentile score","IC2010_RV.SAT Writing 75th percentile score","IC2010_RV.ACT Composite 75th percentile score"
"100751","The University of Alabama","2010","Alabama",,"54","52","20112","10776","5563","620","620","600","29"
"100858","Auburn University","2010","Alabama",,"79","34","15784","12417","4204","650","660","640","30"
"104151","Arizona State University-Tempe","2010","Arizona","ASU","91","36","28304","25616","9344","590","620",,"26"
"104179","University of Arizona","2010","Arizona","UA|U of A|Arizona|UofA|The University of Arizona|University of Arizona|University of Az|AZ|Univ. of Arizona|Univ. of Az|Tucson|Tucson, AZ|the university of Arizona|the Univ. of Az|the U of AZ|the U of Az|Ariz.|Arizona University|Az+university|85721|AZ+univ|AZ university|","75","35","26629","20068","7032","610","610",,"27"
"106397","University of Arkansas","2010","Arkansas","University of Arkansas|Arkansas","60","45","14019","8468","3810","610","640",,"28"
"110635","University of California-Berkeley","2010","California","UC Berkeley","22","41","48682","10524","4356","710","750","720","32"
"110662","University of California-Los Angeles","2010","California","UCLA","22","37","55694","12178","4472","680","720","700","31"
"123961","University of Southern California","2010","California","USC","24","34","35794","8715","2972","720","750","740","33"
"126614","University of Colorado Boulder","2010","Colorado","U of Colorado|Univ of Colorado|University of Colorado|U of CO|Univ of CO|University of CO|Boulder|CU|CU-Boulder|UCB|CUB|Colorado|Colorado University|U of Colo|Univ of Colo|University of Colo|Colo|Buffs|Buffalos|Buffaloes|CU at Boulder|Golden Buffs|University of Colorado at Boulder","83","30","21150","17517","5211","630","660",,"28"
"134097","Florida State University","2010","Florida","Florida State|F.S.U.|FSU|F. S. U.|Fla. State University|Fla. State|Fl State University|Fl State|FL State University|FL State|Seminoles|Noles|Florida State Seminoles|Florida State University Seminoles|Fl. State|Fl. State University|The Florida State University|Floridia State University|Florda State University|Florida State Univerisity|Flordia State University|Florida State Unversity|","60","38","26037","15498","5952","640","650",,"28"
"134130","University of Florida","2010","Florida",,"43","56","26512","11459","6381","670","690",,"30"
"135726","University of Miami","2010","Florida",,"39","21","25899","10157","2132","680","700","680","32"
"139755","Georgia Institute of Technology-Main Campus","2010","Georgia","Georgia Tech","59","40","11432","6721","2660","680","750","670","31"
"139959","University of Georgia","2010","Georgia",,"54","49","17776","9557","4684","660","670","660","29"
"145600","University of Illinois at Chicago","2010","Illinois","UIC|U of I-Chicago|Illinois-Chicago|U of I-Medical Center|University of Illinois-Medical Center|","63","34","14889","9411","3204","610","660","620","26"
"147767","Northwestern University","2010","Illinois",,"27","31","25369","6887","2128","750","780","760","33"
"151351","Indiana University-Bloomington","2010","Indiana","IU|IUB|IU Bloomington|","69","28","36719","25391","7020","630","650","620","29"
