"unitid","institution name","year","HD2010.State abbreviation","HD2010.Institution name alias","DRVIC2010_RV.Percent admitted - total","DRVIC2010_RV.Admissions yield - total","IC2010_RV.Applicants total","IC2010_RV.Admissions total","IC2010_RV.Enrolled total","IC2010_RV.SAT Critical Reading 75th percentile score","IC2010_RV.SAT Math 75th percentile score","IC2010_RV.SAT Writing 75th percentile score","IC2010_RV.ACT Composite 75th percentile score"
"152080","University of Notre Dame","2010","Indiana","Notre Dame | Fighting Irish | ND","29","49","14521","4177","2067","740","770",,"34"
"153603","Iowa State University","2010","Iowa","ISU","85","41","12536","10662","4356","640","690",,"28"
"153658","University of Iowa","2010","Iowa","Iowa|UI","84","32","17220","14434","4557","640","700",,"28"
"155317","University of Kansas","2010","Kansas","University of Kansas | Univ of Kansas | Kansas University | KU | Kansas Jayhawks | Univ of KS |University of KS | Kansas Univ | Kansas U","91","40","10653","9740","3942",,,,"27"
"155399","Kansas State University","2010","Kansas","K-State","99","44","8268","8147","3561",,,,
"157085","University of Kentucky","2010","Kentucky",,"74","46","12195","8966","4153","610","640","600","28"
"157289","University of Louisville","2010","Kentucky",,"73","44","7755","5625","2478","628","640",,"28"
"159391","Louisiana State University and Agricultural & Mechanical College","2010","Louisiana","Louisiana State University|LSU","69","43","15917","11012","4789","630","650",,"28"
"163259","University of Maryland, Baltimore","2010","Maryland",,,,,,,,,,
"164924","Boston College","2010","Massachusetts",,"31","25","29933","9310","2359","700","730","720","32"
"170976","University of Michigan-Ann Arbor","2010","Michigan","U of Michigan|U of M|Univ of Michigan|U Michigan Ann Arbor|University of Michigan Ann Arbor","51","40","31613","16006","6481","690","750","710","31"
"171100","Michigan State University","2010","Michigan","MSU|Spartans|MI State University|State|MI State U","70","39","26907","18829","7375","610","670","600","28"
"174066","University of Minnesota-Twin Cities","2010","Minnesota",,"48","30","36853","17613","5323","690","720","660","30"
"176017","University of Mississippi","2010","Mississippi","Ole Miss","78","36","10909","8479","3088","590","600",,"27"
"176080","Mississippi State University","2010","Mississippi",,"55","52","9300","5158","2707","610","630",,"26"
"178396","University of Missouri-Columbia","2010","Missouri",,"81","36","20664","16730","6089","650","650",,"28"
"181464","University of Nebraska-Lincoln","2010","Nebraska",,"62","67","9768","6089","4075","650","670",,"28"
"186380","Rutgers University-New Brunswick","2010","New Jersey","Rutgers, The State University of New Jersey|Rutgers, The State University|Rutgers University|Rutgers, New Brunswick Campus|Rutgers-New Brunswick Campus|Rutgers-New Jersey|Rutgers, The State University New Brunswick/Piscataway Campus|Rutgers, New Brunswick|Rutgers|RU|Rutgers, New Jersey","59","35","29532","17448","6033","630","670","640",
"196413","Syracuse University","2010","New York",,"60","25","22935","13704","3471","620","650","630","28"
"198419","Duke University","2010","North Carolina",,"19","41","22280","4203","1723","750","780","760","34"
"199120","University of North Carolina at Chapel Hill","2010","North Carolina",,"32","54","23225","7345","3960","700","710","680","31"
"199193","North Carolina State University at Raleigh","2010","North Carolina","NC State University | NC State | N C State University | N C State | NCSU","55","46","18992","10409","4772","620","660","610","28"
"199847","Wake Forest University","2010","North Carolina",,"40","29","10566","4256","1225",,,,
"204796","Ohio State University-Main Campus","2010","Ohio",,"62","40","26764","16572","6672","650","700","640","30"
"207388","Oklahoma State University-Main Campus","2010","Oklahoma",,"81","50","8696","7079","3554","600","630",,"28"
"207500","University of Oklahoma-Norman Campus","2010","Oklahoma","University of Oklahoma|Oklahoma University|OU|Oklahoma","85","44","9996","8500","3726","650","660",,"29"
"209542","Oregon State University","2010","Oregon",,"82","42","10068","8303","3506","590","620","560","26"
"209551","University of Oregon","2010","Oregon","UO","80","29","16780","13367","3839","610","620",,"27"
"214777","Pennsylvania State University-Main Campus","2010","Pennsylvania","Penn State","52","31","40714","21017","6560","630","670","640","29"
"215293","University of Pittsburgh-Pittsburgh Campus","2010","Pennsylvania",,"59","29","21737","12722","3642","680","680","660","30"
"217882","Clemson University","2010","South Carolina",,"63","33","16282","10224","3383","640","670","590","30"
"218663","University of South Carolina-Columbia","2010","South Carolina",,"64","35","17695","11262","3917","640","650",,"29"
"221759","The University of Tennessee-Knoxville","2010","Tennessee",,"74","45","12555","9352","4214","640","640",,"29"
"221999","Vanderbilt University","2010","Tennessee",,"18","41","21811","3914","1600","760","770","750","34"
"223232","Baylor University","2010","Texas",,"48","20","34145","16315","3259","650","670","640","29"
"228723","Texas A & M University-College Station","2010","Texas","Texas A&M | TAMU","69","51","23314","16003","8176","650","680","620","30"
"228778","The University of Texas at Austin","2010","Texas","UT Austin |University of Texas","47","50","31022","14583","7275","660","700","660","31"
"228875","Texas Christian University","2010","Texas","TCU","53","25","14085","7428","1827","630","650","630","29"
"229115","Texas Tech University","2010","Texas",,"72","41","16349","11720","4858","580","610","570","27"
"230764","University of Utah","2010","Utah","The U","83","45","8364","6931","3110","630","630","610","27"
"233921","Virginia Polytechnic Institute and State University","2010","Virginia","Virginia Tech","67","39","19981","13389","5205","640","680","630","29"
"234076","University of Virginia-Main Campus","2010","Virginia","University of Virginia |UVa |UVA","33","45","22124","7212","3246","710","740","720","32"
"236939","Washington State University","2010","Washington",,"70","37","11604","8068","2980","580","610","570","26"
"236948","University of Washington-Seattle Campus","2010","Washington","UW-Seattle, UDub, UW, Washington","58","44","21268","12264","5338","650","680",,"30"
"238032","West Virginia University","2010","West Virginia","WVU","88","37","14229","12496","4589","560","580",,"26"
"240444","University of Wisconsin-Madison","2010","Wisconsin",,"67","40","21390","14225","5680","670","720","670","30"
"243744","Stanford University","2010","California",,"7","71","32022","2340","1672","760","790","780","34"
"243780","Purdue University-Main Campus","2010","Indiana","Purdue-West Lafayette|Purdue|PU|Purdue-WL","65","33","30707","19993","6513","610","680","610","29"
