"unitid","institution name","year","HD2011.State abbreviation","HD2011.Institution name alias","DRVIC2011_RV.Percent admitted - total","DRVIC2011_RV.Admissions yield - total","IC2011_RV.Applicants total","IC2011_RV.Admissions total","IC2011_RV.Enrolled total","IC2011_RV.SAT Critical Reading 75th percentile score","IC2011_RV.SAT Math 75th percentile score","IC2011_RV.SAT Writing 75th percentile score","IC2011_RV.ACT Composite 75th percentile score"
"209542","Oregon State University","2011","Oregon","OSU","81","40","11428","9269","3696","600","620",,"26"
"209551","University of Oregon","2011","Oregon","UO","79","27","18515","14588","3978","607","611",,"27"
"214777","Pennsylvania State University-Main Campus","2011","Pennsylvania","Penn State","55","32","41545","22761","7262","630","670","640","29"
"215293","University of Pittsburgh-Pittsburgh Campus","2011","Pennsylvania",,"58","29","22616","13066","3750","680","690","660","30"
"217882","Clemson University","2011","South Carolina",,"58","31","16865","9724","3016","650","680","640","30"
"218663","University of South Carolina-Columbia","2011","South Carolina",,"70","35","18485","12914","4468","630","650",,"29"
"221759","The University of Tennessee-Knoxville","2011","Tennessee",,"70","44","13769","9595","4188","640","640",,"29"
"221999","Vanderbilt University","2011","Tennessee",,"16","39","24837","4078","1601","770","780","760","34"
"223232","Baylor University","2011","Texas",,"40","20","38960","15451","3033","660","680","640","29"
"228723","Texas A & M University-College Station","2011","Texas","Texas A&M | TAMU","63","50","25990","16488","8254","650","670","620","30"
"228778","The University of Texas at Austin","2011","Texas","UT Austin |University of Texas","47","47","32589","15172","7149","670","710","680","31"
"228875","Texas Christian University","2011","Texas","TCU","38","26","19170","7219","1873","630","650","640","29"
"229115","Texas Tech University","2011","Texas",,"66","38","17569","11645","4464","590","610","570","27"
"230764","University of Utah","2011","Utah","The U","83","41","9545","7941","3268","630","650","610","27"
"233921","Virginia Polytechnic Institute and State University","2011","Virginia","Virginia Tech","67","38","20828","13860","5221","640","670","630",
"234076","University of Virginia-Main Campus","2011","Virginia","University of Virginia |UVa |UVA","33","44","23583","7847","3439","720","740","720","32"
"236939","Washington State University","2011","Washington",,"84","38","13094","10939","4176","580","600","560","26"
"236948","University of Washington-Seattle Campus","2011","Washington","UW-Seattle, UDub, UW, Washington","58","40","24537","14340","5774","650","700","650","30"
"238032","West Virginia University","2011","West Virginia","WVU","87","40","14335","12475","5034","560","580",,"26"
"240444","University of Wisconsin-Madison","2011","Wisconsin",,"66","41","21689","14417","5927","670","740","670","30"
"243744","Stanford University","2011","California",,"7","70","34348","2437","1707","770","780","780","34"
"243780","Purdue University-Main Campus","2011","Indiana","Purdue-West Lafayette|Purdue|PU|Purdue-WL","68","34","29721","20318","6821","610","690","610","30"
