"unitid","institution name","year","HD2011.State abbreviation","HD2011.Institution name alias","DRVIC2011_RV.Percent admitted - total","DRVIC2011_RV.Admissions yield - total","IC2011_RV.Applicants total","IC2011_RV.Admissions total","IC2011_RV.Enrolled total","IC2011_RV.SAT Critical Reading 75th percentile score","IC2011_RV.SAT Math 75th percentile score","IC2011_RV.SAT Writing 75th percentile score","IC2011_RV.ACT Composite 75th percentile score"
"100751","The University of Alabama","2011","Alabama",,"44","60","22136","9636","5766","620","640","620","29"
"100858","Auburn University","2011","Alabama",,"70","33","18323","12827","4202","600","620","590","30"
"104151","Arizona State University-Tempe","2011","Arizona","ASU","87","37","29771","25795","9544","600","620",,"27"
"104179","University of Arizona","2011","Arizona","UA|U of A|Arizona|UofA|The University of Arizona|University of Arizona|University of Az|AZ|Univ. of Arizona|Univ. of Az|Tucson|Tucson, AZ|the university of Arizona|the Univ. of Az|the U of AZ|the U of Az|Ariz.|Arizona University|Az+university|85721|AZ+univ|AZ university|","75","35","26629","20068","7032","610","620",,"27"
"106397","University of Arkansas","2011","Arkansas","University of Arkansas|Arkansas","61","44","16633","10129","4447","610","630",,"28"
"110635","University of California-Berkeley","2011","California","UC Berkeley","21","38","50374","10795","4109","730","760","740","32"
"110662","University of California-Los Angeles","2011","California","UCLA","26","29","61545","15719","4636","680","740","710","31"
"123961","University of Southern California","2011","California","USC","23","34","37210","8566","2931","720","770","740","33"
"126614","University of Colorado Boulder","2011","Colorado","U of Colorado|Univ of Colorado|University of Colorado|U of CO|Univ of CO|University of CO|Boulder|CU|CU-Boulder|UCB|CUB|Colorado|Colorado University|U of Colo|Univ of Colo|University of Colo|Colo|Buffs|Buffalos|Buffaloes|CU at Boulder|Golden Buffs|University of Colorado at Boulder","87","32","20506","17828","5700","630","650",,"28"
"134097","Florida State University","2011","Florida","Florida State|F.S.U.|FSU|F. S. U.|Fla. State University|Fla. State|Fl State University|Fl State|FL State University|FL State|Seminoles|Noles|Florida State Seminoles|Florida State University Seminoles|Fl. State|Fl. State University|The Florida State University|Floridia State University|Florda State University|Florida State Univerisity|Flordia State University|Florida State Unversity|","58","37","28313","16561","6135","650","640",,"28"
"134130","University of Florida","2011","Florida",,"43","55","27295","11786","6451","670","690",,"30"
"135726","University of Miami","2011","Florida",,"38","20","27747","10635","2172","690","710","690","32"
"139755","Georgia Institute of Technology-Main Campus","2011","Georgia","Georgia Tech","52","39","13495","6976","2712","690","740","690","32"
"139959","University of Georgia","2011","Georgia",,"59","45","17408","10318","4679","660","670","660","29"
"145600","University of Illinois at Chicago","2011","Illinois","UIC|U of I-Chicago|Illinois-Chicago|U of I-Medical Center|University of Illinois-Medical Center|","63","34","14564","9151","3115","600","650","610","26"
"147767","Northwestern University","2011","Illinois",,"23","33","27528","6367","2127","750","780","770","33"
"151351","Indiana University-Bloomington","2011","Indiana","IU|IUB|IU Bloomington|","72","29","35218","25455","7424","630","650","620","29"
"152080","University of Notre Dame","2011","Indiana","Notre Dame | Fighting Irish | ND","24","50","16548","4019","2020","750","770",,"34"
"153603","Iowa State University","2011","Iowa","ISU","81","38","15066","12135","4552","640","670",,"28"
"153658","University of Iowa","2011","Iowa","Iowa|UI","80","30","18939","15105","4565","630","685",,"28"
"155317","University of Kansas","2011","Kansas","University of Kansas | Univ of Kansas | Kansas University | KU | Kansas Jayhawks | Univ of KS |University of KS | Kansas Univ | Kansas U, KUMC, University of Kansas Medical Center, KU Medical Center, Kansas University Medical Center","93","39","10157","9397","3702",,,,"28"
"155399","Kansas State University","2011","Kansas","K-State","99","44","8292","8204","3644",,,,
"157085","University of Kentucky","2011","Kentucky",,"69","47","13537","9275","4328","620","630","590","28"
"157289","University of Louisville","2011","Kentucky",,"75","44","7749","5804","2561","630","640",,"27"
"159391","Louisiana State University and Agricultural & Mechanical College","2011","Louisiana","Louisiana State University|LSU","72","42","18214","13148","5481","630","650",,"28"
"163259","University of Maryland, Baltimore","2011","Maryland",,,,,,,,,,
"164924","Boston College","2011","Massachusetts",,"28","25","32974","9227","2285","710","730","730","32"
"170976","University of Michigan-Ann Arbor","2011","Michigan","U of Michigan|U of M|Univ of Michigan|U Michigan Ann Arbor|University of Michigan Ann Arbor","41","39","39584","16073","6236","700","750","720","32"
"171100","Michigan State University","2011","Michigan","MSU|Spartans|MI State University|State|MI State U","73","39","28416","20728","7984","600","670","600","28"
"174066","University of Minnesota-Twin Cities","2011","Minnesota",,"47","29","39720","18505","5368","690","740","670","30"
"176017","University of Mississippi","2011","Mississippi","Ole Miss","79","34","13321","10524","3569","590","590",,"27"
"176080","Mississippi State University","2011","Mississippi",,"63","47","9862","6192","2898","605","630",,"27"
"178396","University of Missouri-Columbia","2011","Missouri",,"81","42","18103","14690","6138","650","650",,"28"
"181464","University of Nebraska-Lincoln","2011","Nebraska",,"59","69","10022","5943","4093","660","670",,"28"
"186380","Rutgers University-New Brunswick","2011","New Jersey","Rutgers, The State University of New Jersey|Rutgers, The State University|Rutgers University|Rutgers, New Brunswick Campus|Rutgers-New Brunswick Campus|Rutgers-New Jersey|Rutgers, The State University New Brunswick/Piscataway Campus|Rutgers, New Brunswick|Rutgers|RU|Rutgers, New Jersey","61","35","28602","17487","6075","630","680","640",
"196413","Syracuse University","2011","New York",,"49","27","25884","12779","3410","620","650","630","28"
"198419","Duke University","2011","North Carolina",,"16","42","25462","4196","1751","750","780","770","34"
"199120","University of North Carolina at Chapel Hill","2011","North Carolina",,"34","52","22288","7552","3960","700","710","690","31"
"199193","North Carolina State University at Raleigh","2011","North Carolina","NC State University | NC State | N C State University | N C State | NCSU","54","44","19753","10709","4705","620","660","610","28"
"199847","Wake Forest University","2011","North Carolina",,"40","32","9869","3933","1240",,,,
"204796","Ohio State University-Main Campus","2011","Ohio",,"63","43","26100","16518","7089","660","700","650","30"
"207388","Oklahoma State University-Main Campus","2011","Oklahoma",,"82","48","9914","8099","3896","600","620",,"27"
"207500","University of Oklahoma-Norman Campus","2011","Oklahoma","University of Oklahoma|Oklahoma University|OU|Oklahoma","82","43","11456","9377","4053","650","655",,"29"
