"unitid","institution name","year","HD2012.State abbreviation","HD2012.Institution name alias","DRVIC2012_RV.Percent admitted - total","DRVIC2012_RV.Admissions yield - total","IC2012_RV.Applicants total","IC2012_RV.Admissions total","IC2012_RV.Enrolled total","IC2012_RV.SAT Critical Reading 75th percentile score","IC2012_RV.SAT Math 75th percentile score","IC2012_RV.SAT Writing 75th percentile score","IC2012_RV.ACT Composite 75th percentile score"
"100751","The University of Alabama","2012","Alabama",,"53","46","26409","14019","6397","620","640","610","30"
"100858","Auburn University","2012","Alabama",,"77","29","17463","13486","3852","630","650","610","30"
"104151","Arizona State University-Tempe","2012","Arizona","ASU","89","35","29722","26425","9254","610","630",,"27"
"104179","University of Arizona","2012","Arizona","UA|U of A|Arizona|UofA|The University of Arizona|University of Arizona|University of Az|AZ|Univ. of Arizona|Univ. of Az|Tucson|Tucson, AZ|the university of Arizona|the Univ. of Az|the U of AZ|the U of Az|Ariz.|Arizona University|Az+university|85721|AZ+univ|AZ university|","71","38","26854","19172","7300","600","620","600","27"
"106397","University of Arkansas","2012","Arkansas","University of Arkansas|Arkansas","63","43","16749","10630","4574","610","630",,"28"
"110635","University of California-Berkeley","2012","California","UC Berkeley","22","39","52982","11450","4443","720","770","740","33"
"110662","University of California-Los Angeles","2012","California","UCLA","27","35","61556","16689","5825","690","740","710","31"
"123961","University of Southern California","2012","California","USC","20","33","46104","9187","3021","720","760","740","33"
"126614","University of Colorado Boulder","2012","Colorado","U of Colorado|Univ of Colorado|University of Colorado|U of CO|Univ of CO|University of CO|Boulder|CU|CU-Boulder|UCB|CUB|Colorado|Colorado University|U of Colo|Univ of Colo|University of Colo|Colo|Buffs|Buffalos|Buffaloes|CU at Boulder|Golden Buffs|University of Colorado at Boulder","84","30","21744","18172","5472","630","650",,"28"
"134097","Florida State University","2012","Florida","Florida State|F.S.U.|FSU|F. S. U.|Fla. State University|Fla. State|Fl State University|Fl State|FL State University|FL State|Seminoles|Noles|Florida State Seminoles|Florida State University Seminoles|Fl. State|Fl. State University|The Florida State University|Floridia State University|Florda State University|Florida State Univerisity|Flordia State University|Florida State Unversity|","54","36","30040","16124","5738","640","640",,"29"
"134130","University of Florida","2012","Florida",,"44","52","27419","12092","6289","670","690","670","31"
"135726","University of Miami","2012","Florida",,"40","18","27757","11020","2012","700","720","690","32"
"139755","Georgia Institute of Technology-Main Campus","2012","Georgia","Georgia Tech","51","37","14088","7210","2695","690","760","700","32"
"139959","University of Georgia","2012","Georgia",,"63","50","17569","11062","5482","650","660","650","30"
"145637","University of Illinois at Urbana-Champaign","2012","Illinois","Illinois|Illinios|Ilinois|Ilinios|Urbana|Champaign|Champagne|Champaign-Urbana|Champagne-Urbana|Urbana-Champaign|Urbana-Champagne|University of Illinois at Urbana|University of Illinois at Champaign|University of Illinois at Champagne|University of Illinois at Champaign-Urbana|University of Illinois at Champagne-Urbana|UIUC|UICU|University of Illinois at UC|University of Illinois at CU","63","35","31454","19924","6921","680","790","680","31"
"147767","Northwestern University","2012","Illinois",,"18","38","30926","5575","2107","760","780","770","34"
"151351","Indiana University-Bloomington","2012","Indiana","IU|IUB|IU Bloomington|","74","29","35247","26228","7613","620","660","610","29"
"152080","University of Notre Dame","2012","Indiana","Notre Dame | Fighting Irish | ND","23","51","16957","3947","2014","750","770",,"34"
"153603","Iowa State University","2012","Iowa","ISU","86","40","14540","12541","5048","630","660",,"28"
"153658","University of Iowa","2012","Iowa","Iowa|UI","78","29","19430","15240","4470","630","690","610","28"
"155317","University of Kansas","2012","Kansas","University of Kansas | Univ of Kansas | Kansas University | KU | Kansas Jayhawks | Univ of KS |University of KS | Kansas Univ | Kansas U, KUMC, University of Kansas Medical Center, KU Medical Center, Kansas University Medical Center","93","38","10035","9306","3580",,,,"28"
"155399","Kansas State University","2012","Kansas","K-State","99","41","9273","9180","3770",,,,
"157085","University of Kentucky","2012","Kentucky",,"68","40","15153","10362","4139","610","630","600","28"
"157289","University of Louisville","2012","Kentucky",,"73","45","7892","5738","2569","620","630",,"28"
"159391","Louisiana State University and Agricultural & Mechanical College","2012","Louisiana","Louisiana State University|LSU","80","45","14818","11789","5290","610","630",,"28"
"163259","University of Maryland, Baltimore","2012","Maryland",,,,,,,,,,
"164924","Boston College","2012","Massachusetts",,"29","25","34061","9813","2405","710","740","730","32"
"170976","University of Michigan-Ann Arbor","2012","Michigan","U of Michigan|U of M|Univ of Michigan|U Michigan Ann Arbor|University of Michigan Ann Arbor","37","40","42544","15551","6148","700","760","720","32"
"171100","Michigan State University","2012","Michigan","MSU|Spartans|MI State University|State|MI State U","71","39","30224","21327","8354","580","680","580","28"
"174066","University of Minnesota-Twin Cities","2012","Minnesota",,"50","29","38174","18900","5514","690","740","670","30"
"176017","University of Mississippi","2012","Mississippi","Ole Miss","61","40","13934","8507","3373","600","600",,"27"
"176080","Mississippi State University","2012","Mississippi",,"62","45","10462","6502","2894","610","620",,"27"
"178396","University of Missouri-Columbia","2012","Missouri",,"81","39","20564","16752","6501","640","650",,"28"
"181464","University of Nebraska-Lincoln","2012","Nebraska",,"64","59","10350","6662","3937","660","680",,"29"
"186380","Rutgers University-New Brunswick","2012","New Jersey","Rutgers, The State University of New Jersey|Rutgers, The State University|Rutgers University|Rutgers, New Brunswick Campus|Rutgers-New Brunswick Campus|Rutgers-New Jersey|Rutgers, The State University New Brunswick/Piscataway Campus|Rutgers, New Brunswick|Rutgers|RU|Rutgers, New Jersey","61","35","28635","17436","6170","630","680","650",
"196413","Syracuse University","2012","New York",,"51","26","25790","13240","3392","620","650","630","28"
"198419","Duke University","2012","North Carolina",,"14","44","28145","3938","1724","750","780","770","34"
"199120","University of North Carolina at Chapel Hill","2012","North Carolina",,"33","54","22652","7469","4026","700","700","690","32"
"199193","North Carolina State University at Raleigh","2012","North Carolina","NC State University | NC State | N C State University | N C State | NCSU","53","44","20103","10577","4697","620","660","610","28"
"199847","Wake Forest University","2012","North Carolina",,"34","32","11407","3875","1240",,,,
"204796","Ohio State University-Main Campus","2012","Ohio",,"64","44","25816","16521","7215","650","710","650","30"
"207388","Oklahoma State University-Main Campus","2012","Oklahoma",,"78","46","12056","9351","4289","590","620",,"28"
"207500","University of Oklahoma-Norman Campus","2012","Oklahoma","University of Oklahoma|Oklahoma University|OU|Oklahoma","79","45","11650","9220","4138","640","660",,"29"
"209542","Oregon State University","2012","Oregon","OSU","78","37","12197","9471","3506","600","620",,"27"
"209551","University of Oregon","2012","Oregon","UO","73","25","23012","16790","4167","610","613",,"27"
"214777","Pennsylvania State University-Main Campus","2012","Pennsylvania","Penn State","52","31","45502","23855","7366","630","670","640","29"
"215293","University of Pittsburgh-Pittsburgh Campus","2012","Pennsylvania",,"58","28","23409","13544","3768","690","690","660","30"
"217882","Clemson University","2012","South Carolina",,"63","27","17072","10803","2935","650","680","590","30"
"218663","University of South Carolina-Columbia","2012","South Carolina",,"63","34","21311","13451","4637","640","650",,"29"
"221759","The University of Tennessee-Knoxville","2012","Tennessee",,"67","43","14398","9693","4207","640","650",,"29"
"221999","Vanderbilt University","2012","Tennessee",,"14","40","28348","4034","1608","770","790","770","34"
"223232","Baylor University","2012","Texas",,"61","19","27828","16879","3254","660","670","650","29"
"228723","Texas A & M University-College Station","2012","Texas","Texas A&M | TAMU","67","44","27730","18546","8143","640","670","610","30"
"228778","The University of Texas at Austin","2012","Texas","UT Austin |University of Texas","47","49","35431","16563","8092","670","710","680","31"
"228875","Texas Christian University","2012","Texas","TCU","41","23","19335","7901","1854","630","650","650","30"
"229115","Texas Tech University","2012","Texas",,"64","39","18027","11593","4560","590","620","570","27"
"230764","University of Utah","2012","Utah","The U","83","38","11118","9187","3494","620","650","610","27"
"233921","Virginia Polytechnic Institute and State University","2012","Virginia","Virginia Tech","70","39","20191","14210","5487","640","680","640",
"234076","University of Virginia-Main Campus","2012","Virginia","University of Virginia |UVa |UVA","30","42","27178","8031","3400","720","740","730","32"
"236939","Washington State University","2012","Washington",,"76","39","14825","11269","4389","570","600","550","25"
"236948","University of Washington-Seattle Campus","2012","Washington","UW-Seattle, UDub, UW, Washington","58","40","24540","14340","5788","650","700","640","30"
"238032","West Virginia University","2012","West Virginia","WVU","85","37","15815","13415","5022","570","590",,"26"
"240444","University of Wisconsin-Madison","2012","Wisconsin",,"69","40","21352","14651","5828","670","740","680","30"
"243744","Stanford University","2012","California",,"7","73","36632","2423","1765","780","790","780","34"
"243780","Purdue University-Main Campus","2012","Indiana","Purdue-West Lafayette|Purdue|PU|Purdue-WL","61","34","31124","19127","6476","620","680","620","30"
