"unitid","institution name","year","HD2004.State abbreviation","IC2004.Applicants total","IC2004.Admissions total","IC2004.Enrolled total","IC2004.SAT  I Verbal 75th percentile score","IC2004.SAT I Math 75th percentile score","IC2004.ACT Composite 75th percentile score"
"100751","The University of Alabama","2004","Alabama","9106","7021","3368","600","600","26"
"100858","Auburn University","2004","Alabama","12827","10796","3594","600","610","27"
"104151","Arizona State University-Tempe","2004","Arizona","20789","17899","7147","600","620","26"
"104179","University of Arizona","2004","Arizona","23725","19788","5725","610","620","26"
"106397","University of Arkansas","2004","Arkansas","5819","4567","2514","650","650","28"
"110635","University of California-Berkeley","2004","California","37001","8833","3653","700","740","30"
"110662","University of California-Los Angeles","2004","California","44981","10577","4268","690","720","29"
"123961","University of Southern California","2004","California","29792","8037","2770","710","730","31"
"126614","University of Colorado Boulder","2004","Colorado","19360","16425","5149","630","650","28"
"134097","Florida State University","2004","Florida","22127","14307","6240","630","630","27"
"134130","University of Florida","2004","Florida","22458","11928","6741","670","690",
"135726","University of Miami","2004","Florida","18507","7784","2043","670","680","30"
"139755","Georgia Institute of Technology-Main Campus","2004","Georgia","8568","6008","2579","690","730","30"
"139959","University of Georgia","2004","Georgia","11813","8885","5190","650","650","28"
"145637","University of Illinois at Urbana-Champaign","2004","Illinois","22269","13939","6811",,,"30"
"147767","Northwestern University","2004","Illinois","14137","4702","1941","730","750","33"
"151351","Indiana University-Bloomington","2004","Indiana","21172","17572","6352","600","620","27"
"152080","University of Notre Dame","2004","Indiana","11490","3488","1985","730","740","33"
"153603","Iowa State University","2004","Iowa","9172","8273","3729","650","690","27"
"153658","University of Iowa","2004","Iowa","13874","11545","4017","660","670","27"
"155317","University of Kansas","2004","Kansas","9700","6600","4066",,,"27"
"155399","Kansas State University","2004","Kansas","10066","4806","3466",,,"26"
"157085","University of Kentucky","2004","Kentucky","9418","7603","3688","620","630","27"
"157289","University of Louisville","2004","Kentucky","5284","4189","2307","600","610","26"
"159391","Louisiana State University and Agricultural & Mechanical College","2004","Louisiana","10147","8171","5428","630","640","27"
"163286","University of Maryland-College Park","2004","Maryland","22292","11499","4200","670","700",
"164924","Boston College","2004","Massachusetts","22451","7178","2309","700","710",
"170976","University of Michigan-Ann Arbor","2004","Michigan","21293","13304","6040","700","740","31"
"171100","Michigan State University","2004","Michigan","21834","17343","7607","620","650","27"
"174066","University of Minnesota-Twin Cities","2004","Minnesota","18537","13707","5588","660","680","28"
"176017","University of Mississippi","2004","Mississippi","6490","5251","2427",,,"26"
"176080","Mississippi State University","2004","Mississippi","5245","3568","1753",,,"27"
"178396","University of Missouri-Columbia","2004","Missouri","12659","10100","4668","660","650","28"
"181464","University of Nebraska-Lincoln","2004","Nebraska","6871","5118","3266","640","660","28"
"186380","Rutgers University-New Brunswick","2004","New Jersey","24434","14961","4817","640","670",
"196413","Syracuse University","2004","New York","16019","9463","2671","650","670","28"
"198419","Duke University","2004","North Carolina","17749","3804","1640","750","780","34"
"199120","University of North Carolina at Chapel Hill","2004","North Carolina","17591","6441","3516","690","700","30"
"199193","North Carolina State University at Raleigh","2004","North Carolina","12978","8048","3931","630","670","29"
"199847","Wake Forest University","2004","North Carolina","6289","2945","1121","700","710",
"204796","Ohio State University-Main Campus","2004","Ohio","16954","12822","6057","630","660","28"
"207388","Oklahoma State University-Main Campus","2004","Oklahoma","6633","5881","3264","590","610","27"
"207500","University of Oklahoma-Norman Campus","2004","Oklahoma","8165","6723","3614",,,"28"
"209542","Oregon State University","2004","Oregon","7410","6529","2949","590","610","26"
"209551","University of Oregon","2004","Oregon","10193","8602","2865","600","610",
"214777","Pennsylvania State University-Main Campus","2004","Pennsylvania","31264","17174","6048","630","670",
"215293","University of Pittsburgh-Pittsburgh Campus","2004","Pennsylvania","17494","8445","2913","650","660","28"
"217882","Clemson University","2004","South Carolina","10620","7287","3019","640","660","28"
"218663","University of South Carolina-Columbia","2004","South Carolina","12004","8442","3491","620","630","27"
"221759","The University of Tennessee-Knoxville","2004","Tennessee","10832","4793","4422","610","620","26"
"221999","Vanderbilt University","2004","Tennessee","11173","4280","1602","710","730","32"
"223232","Baylor University","2004","Texas","10917","7924","2785","640","650","27"
"228723","Texas A & M University-College Station","2004","Texas","17324","12426","7068","640","660","28"
"228778","The University of Texas at Austin","2004","Texas","23008","11788","6791","660","680","28"
"228875","Texas Christian University","2004","Texas","7654","4971","1596","620","640","28"
"229115","Texas Tech University","2004","Texas","13323","8939","3950","600","620","26"
"230764","University of Utah","2004","Utah","6251","5403","2769",,,"26"
"233921","Virginia Polytechnic Institute and State University","2004","Virginia","17845","12771","4943","630","660",
"234076","University of Virginia-Main Campus","2004","Virginia","14824","5760","3113","710","720",
"236939","Washington State University","2004","Washington","9463","7125","3108","580","600","25"
"236948","University of Washington-Seattle Campus","2004","Washington","15773","11156","4977","640","670","28"
"238032","West Virginia University","2004","West Virginia","10049","9281","4415","570","580","25"
"240444","University of Wisconsin-Madison","2004","Wisconsin","19342","13447","5579",,,"30"
"243744","Stanford University","2004","California","19172","2486","1649","770","780","34"
"243780","Purdue University-Main Campus","2004","Indiana","24003","19259","6865","610","650","28"
