unitid,school,year,state,admitRate,yield,applications,admissions,enrollments,avgSAT75,ACTcomposite75
236948,University of Washington-Seattle Campus,2005,Washington,0.67,0.46,15955,10694,4893,660,28
238032,West Virginia University,2005,West Virginia,0.89,0.46,10523,9409,4359,580,25
240444,University of Wisconsin-Madison,2005,Wisconsin,0.71,0.41,19263,13723,5641,685,30
243744,Stanford University,2005,California,0.12,0.67,20195,2426,1633,775,33
243780,Purdue University-Main Campus,2005,Indiana,0.85,0.35,24052,20432,7252,630,28
100751,The University of Alabama,2006,Alabama,0.7,0.5,12522,8770,4378,630,27
100858,Auburn University,2006,Alabama,0.72,0.35,15919,11538,4092,615,27
104151,Arizona State University-Tempe,2006,Arizona,0.92,0.41,20702,19133,7894,610,26
104179,University of Arizona,2006,Arizona,0.86,0.42,16609,14293,6009,615,26
106397,University of Arkansas,2006,Arkansas,0.68,0.48,8443,5770,2784,640,28
110635,University of California-Berkeley,2006,California,0.27,0.42,37014,9817,4101,725,31
110662,University of California-Los Angeles,2006,California,0.27,0.39,42223,11361,4423,705,30
123961,University of Southern California,2006,California,0.25,0.32,33973,8634,2763,730,32
126614,University of Colorado Boulder,2006,Colorado,0.88,0.35,18160,15960,5645,640,28
134097,Florida State University,2006,Florida,0.59,0.44,23687,14027,6222,625,27
134130,University of Florida,2006,Florida,0.48,0.63,22093,10652,6702,680,29
135726,University of Miami,2006,Florida,0.4,0.27,19040,7709,2062,680,31
139755,Georgia Institute of Technology-Main Campus,2006,Georgia,0.67,0.46,9250,6163,2837,700,32
139959,University of Georgia,2006,Georgia,0.65,0.59,12326,7982,4712,665,28
145637,University of Illinois at Urbana-Champaign,2006,Illinois,0.75,0.53,18985,14324,7580,700,31
147767,Northwestern University,2006,Illinois,0.3,0.41,16204,4818,1952,750,33
151351,Indiana University-Bloomington,2006,Indiana,0.78,0.39,26645,20873,8183,620,27
152080,University of Notre Dame,2006,Indiana,0.27,0.58,12796,3492,2039,750,33
153603,Iowa State University,2006,Iowa,0.9,0.46,9101,8216,3769,675,27
153658,University of Iowa,2006,Iowa,0.83,0.36,14350,11880,4289,660,27
155317,University of Kansas,2006,Kansas,0.74,0.57,10030,7435,4201,NA,27
155399,Kansas State University,2006,Kansas,0.48,0.69,9937,4788,3309,NA,27
157085,University of Kentucky,2006,Kentucky,0.77,0.47,10516,8124,3835,635,27
157289,University of Louisville,2006,Kentucky,0.79,0.51,5712,4515,2318,630,27
159391,Louisiana State University and Agricultural & Mechanical College,2006,Louisiana,0.73,0.63,10825,7927,4970,650,27
163286,University of Maryland-College Park,2006,Maryland,0.44,0.38,23546,10470,3962,695,NA
164924,Boston College,2006,Massachusetts,0.29,0.3,26584,7736,2284,710,31
170976,University of Michigan-Ann Arbor,2006,Michigan,0.47,0.44,25806,12246,5386,710,31
171100,Michigan State University,2006,Michigan,0.73,0.44,23247,17046,7440,645,27
174066,University of Minnesota-Twin Cities,2006,Minnesota,0.57,0.38,24663,14165,5439,680,28
176017,University of Mississippi,2006,Mississippi,0.73,0.44,6763,4942,2192,590,26
176080,Mississippi State University,2006,Mississippi,0.69,0.49,5778,3982,1966,NA,27
178396,University of Missouri-Columbia,2006,Missouri,0.78,0.47,13102,10228,4838,650,28
181464,University of Nebraska-Lincoln,2006,Nebraska,0.73,0.66,7993,5858,3849,660,28
186380,Rutgers University-New Brunswick,2006,New Jersey,0.58,0.32,27560,16049,5086,655,NA
196413,Syracuse University,2006,New York,0.51,0.3,19744,10157,3065,665,29
198419,Duke University,2006,North Carolina,0.24,0.43,16820,3992,1724,780,33
199120,University of North Carolina at Chapel Hill,2006,North Carolina,0.37,0.56,18414,6736,3751,695,31
199193,North Carolina State University at Raleigh,2006,North Carolina,0.67,0.48,13752,9170,4375,640,28
199847,Wake Forest University,2006,North Carolina,0.43,0.36,7342,3128,1125,700,NA
204796,Ohio State University-Main Campus,2006,Ohio,0.65,0.5,19026,12443,6280,655,29
207388,Oklahoma State University-Main Campus,2006,Oklahoma,0.87,0.55,6730,5853,3236,625,27
207500,University of Oklahoma-Norman Campus,2006,Oklahoma,0.83,0.49,8223,6814,3342,NA,28
209542,Oregon State University,2006,Oregon,0.93,0.48,6552,6078,2925,600,26
209551,University of Oregon,2006,Oregon,0.9,0.35,10012,9048,3207,620,NA
214777,Pennsylvania State University-Main Campus,2006,Pennsylvania,0.62,0.35,29904,18423,6496,650,28
215293,University of Pittsburgh-Pittsburgh Campus,2006,Pennsylvania,0.53,0.34,18153,9654,3249,665,29
217882,Clemson University,2006,South Carolina,0.55,0.4,12784,6990,2813,655,29
218663,University of South Carolina-Columbia,2006,South Carolina,0.68,0.42,13023,8812,3734,635,27
221759,The University of Tennessee-Knoxville,2006,Tennessee,0.74,0.47,12251,9060,4265,635,28
221999,Vanderbilt University,2006,Tennessee,0.35,0.39,11663,4115,1622,730,33
223232,Baylor University,2006,Texas,0.43,0.31,21393,9097,2783,655,28
228723,Texas A & M University-College Station,2006,Texas,0.73,0.61,17382,12774,7799,645,28
228778,The University of Texas at Austin,2006,Texas,0.49,0.56,27315,13307,7417,675,29
228875,Texas Christian University,2006,Texas,0.63,0.3,8677,5442,1652,630,28
229115,Texas Tech University,2006,Texas,0.7,0.4,13809,9691,3918,605,26
230764,University of Utah,2006,Utah,0.85,0.43,6701,5702,2462,630,27
233921,Virginia Polytechnic Institute and State University,2006,Virginia,0.68,0.4,18919,12824,5084,645,NA
234076,University of Virginia-Main Campus,2006,Virginia,0.37,0.51,16087,6020,3091,715,31
236939,Washington State University,2006,Washington,0.77,0.4,9314,7177,2856,600,NA
236948,University of Washington-Seattle Campus,2006,Washington,0.67,0.46,15923,10681,4924,660,28
238032,West Virginia University,2006,West Virginia,0.92,0.45,10957,10110,4574,570,26
240444,University of Wisconsin-Madison,2006,Wisconsin,0.73,0.42,20156,14734,6141,685,30
243744,Stanford University,2006,California,0.11,0.67,22333,2444,1648,770,33
243780,Purdue University-Main Campus,2006,Indiana,0.85,0.36,24883,21042,7537,625,28
100751,The University of Alabama,2007,Alabama,0.64,0.5,14313,9140,4538,615,27
100858,Auburn University,2007,Alabama,0.69,0.34,17688,12200,4191,620,27
104151,Arizona State University-Tempe,2007,Arizona,0.92,0.41,20702,19133,7894,610,26
104179,University of Arizona,2007,Arizona,0.77,0.43,25449,19703,8482,610,26
106397,University of Arkansas,2007,Arkansas,0.62,0.46,10135,6262,2899,640,29
110635,University of California-Berkeley,2007,California,0.24,0.42,41796,9932,4157,725,30
110662,University of California-Los Angeles,2007,California,0.26,0.39,47317,12188,4810,700,30
123961,University of Southern California,2007,California,0.25,0.35,33760,8453,2963,730,32
126614,University of Colorado Boulder,2007,Colorado,0.82,0.35,19857,16187,5591,640,28
134097,Florida State University,2007,Florida,0.55,0.46,24343,13415,6133,635,28
134130,University of Florida,2007,Florida,0.42,0.63,24126,10158,6443,680,29
135726,University of Miami,2007,Florida,0.38,0.26,19809,7527,1991,685,31
139755,Georgia Institute of Technology-Main Campus,2007,Georgia,0.63,0.45,9259,5831,2626,710,31
139959,University of Georgia,2007,Georgia,0.58,0.55,15924,9214,5064,660,28
145637,University of Illinois at Urbana-Champaign,2007,Illinois,0.71,0.45,21645,15361,6940,705,31
147767,Northwestern University,2007,Illinois,0.3,0.38,18385,5434,2060,750,33
151351,Indiana University-Bloomington,2007,Indiana,0.7,0.35,29059,20282,7197,630,28
152080,University of Notre Dame,2007,Indiana,0.24,0.56,14503,3549,1991,755,34
153603,Iowa State University,2007,Iowa,0.9,0.46,9634,8674,3983,665,27
153658,University of Iowa,2007,Iowa,0.83,0.35,14678,12209,4287,660,27
155317,University of Kansas,2007,Kansas,0.77,0.53,10240,7874,4153,NA,27
155399,Kansas State University,2007,Kansas,0.83,0.5,7479,6207,3104,NA,25
157085,University of Kentucky,2007,Kentucky,0.81,0.52,10024,8073,4190,620,26
157289,University of Louisville,2007,Kentucky,0.71,0.55,6323,4477,2443,635,27
159391,Louisiana State University and Agricultural & Mechanical College,2007,Louisiana,0.74,0.6,10135,7455,4508,645,28
163286,University of Maryland-College Park,2007,Maryland,0.47,0.37,24172,11370,4236,690,NA
164924,Boston College,2007,Massachusetts,0.27,0.29,28850,7869,2291,715,31
170976,University of Michigan-Ann Arbor,2007,Michigan,0.5,0.43,27474,13826,5992,710,31
171100,Michigan State University,2007,Michigan,0.74,0.42,24436,18040,7541,635,27
174066,University of Minnesota-Twin Cities,2007,Minnesota,0.57,0.36,26096,14823,5280,690,29
176017,University of Mississippi,2007,Mississippi,0.84,0.39,7921,6644,2570,565,26
176080,Mississippi State University,2007,Mississippi,0.64,0.59,6098,3879,2281,NA,27
178396,University of Missouri-Columbia,2007,Missouri,0.78,0.47,13102,10228,4838,650,28
181464,University of Nebraska-Lincoln,2007,Nebraska,0.62,0.71,9598,5978,4235,660,28
186380,Rutgers University-New Brunswick,2007,New Jersey,0.56,0.35,28208,15877,5519,650,NA
196413,Syracuse University,2007,New York,0.51,0.29,21225,10750,3104,665,29
198419,Duke University,2007,North Carolina,0.23,0.41,18159,4122,1683,770,34
199120,University of North Carolina at Chapel Hill,2007,North Carolina,0.34,0.57,19728,6737,3807,695,30
199193,North Carolina State University at Raleigh,2007,North Carolina,0.61,0.49,15640,9610,4693,640,26
199847,Wake Forest University,2007,North Carolina,0.42,0.37,7177,3041,1124,705,31
204796,Ohio State University-Main Campus,2007,Ohio,0.59,0.49,21508,12697,6168,665,29
207388,Oklahoma State University-Main Campus,2007,Oklahoma,0.88,0.57,6415,5651,3209,620,27
207500,University of Oklahoma-Norman Campus,2007,Oklahoma,0.82,0.5,9428,7776,3883,645,28
209542,Oregon State University,2007,Oregon,0.92,0.36,9077,8387,3009,600,26
209551,University of Oregon,2007,Oregon,0.88,0.36,10821,9531,3423,610,NA
214777,Pennsylvania State University-Main Campus,2007,Pennsylvania,0.58,0.4,34813,20181,8039,640,28
215293,University of Pittsburgh-Pittsburgh Campus,2007,Pennsylvania,0.56,0.34,18195,10160,3420,660,29
217882,Clemson University,2007,South Carolina,0.55,0.41,12784,6990,2866,655,29
218663,University of South Carolina-Columbia,2007,South Carolina,0.63,0.42,13946,8782,3697,630,28
221759,The University of Tennessee-Knoxville,2007,Tennessee,0.71,0.48,12606,9009,4351,635,28
221999,Vanderbilt University,2007,Tennessee,0.33,0.39,12911,4238,1673,740,33
223232,Baylor University,2007,Texas,0.44,0.23,26514,11668,2732,655,28
228723,Texas A & M University-College Station,2007,Texas,0.72,0.6,18778,13530,8076,650,28
228778,The University of Texas at Austin,2007,Texas,0.51,0.54,27237,13800,7478,675,28
228875,Texas Christian University,2007,Texas,0.49,0.28,11888,5812,1644,630,28
229115,Texas Tech University,2007,Texas,0.9,0.42,11961,10759,4496,595,26
230764,University of Utah,2007,Utah,0.91,0.48,6557,5962,2838,635,27
233921,Virginia Polytechnic Institute and State University,2007,Virginia,0.67,0.39,19429,13031,5122,650,NA
234076,University of Virginia-Main Campus,2007,Virginia,0.35,0.52,17800,6274,3245,710,NA
236939,Washington State University,2007,Washington,0.76,0.42,10853,8240,3477,605,26
236948,University of Washington-Seattle Campus,2007,Washington,0.65,0.46,17808,11511,5325,660,29
238032,West Virginia University,2007,West Virginia,0.4,1,12047,4828,4828,570,26
240444,University of Wisconsin-Madison,2007,Wisconsin,0.66,0.42,20436,13403,5643,690,30
243744,Stanford University,2007,California,0.1,0.7,23958,2464,1723,775,33
243780,Purdue University-Main Campus,2007,Indiana,0.79,0.34,25929,20429,6914,635,28
100751,The University of Alabama,2008,Alabama,0.6,0.46,18500,11172,5116,605,27
100858,Auburn University,2008,Alabama,0.71,0.33,17068,12085,3984,635,28
104151,Arizona State University-Tempe,2008,Arizona,0.94,0.39,24922,23504,9274,600,26
104179,University of Arizona,2008,Arizona,0.81,0.37,22544,18158,6709,610,26
106397,University of Arkansas,2008,Arkansas,0.58,0.43,12045,6945,3011,635,28
110635,University of California-Berkeley,2008,California,0.23,0.41,44149,10251,4225,730,31
110662,University of California-Los Angeles,2008,California,0.24,0.38,50746,11960,4563,705,31
123961,University of Southern California,2008,California,0.22,0.35,35900,7875,2766,735,33
126614,University of Colorado Boulder,2008,Colorado,0.78,0.33,23004,17933,5860,640,28
134097,Florida State University,2008,Florida,0.47,0.42,25485,11901,5031,645,28
134130,University of Florida,2008,Florida,0.41,0.58,26326,10916,6384,690,30
135726,University of Miami,2008,Florida,0.39,0.24,21774,8411,2010,690,31
139755,Georgia Institute of Technology-Main Campus,2008,Georgia,0.63,0.43,9664,6122,2628,710,31
139959,University of Georgia,2008,Georgia,0.55,0.51,16871,9242,4721,655,29
145637,University of Illinois at Urbana-Champaign,2008,Illinois,0.69,0.45,23240,16043,7287,705,31
147767,Northwestern University,2008,Illinois,0.27,0.34,21930,5872,1981,760,34
151351,Indiana University-Bloomington,2008,Indiana,0.71,0.34,31177,22039,7564,630,29
152080,University of Notre Dame,2008,Indiana,0.27,0.54,13945,3727,2000,750,34
153603,Iowa State University,2008,Iowa,0.89,0.44,11058,9832,4347,660,27
153658,University of Iowa,2008,Iowa,0.82,0.33,15582,12827,4246,670,28
155317,University of Kansas,2008,Kansas,0.92,0.43,10367,9554,4084,NA,27
155399,Kansas State University,2008,Kansas,0.56,0.76,9386,5249,3981,640,26
157085,University of Kentucky,2008,Kentucky,0.77,0.47,10619,8172,3865,620,27
157289,University of Louisville,2008,Kentucky,0.7,0.5,7280,5109,2569,625,27
159391,Louisiana State University and Agricultural & Mechanical College,2008,Louisiana,0.73,0.55,11452,8332,4596,642.5,28
163286,University of Maryland-College Park,2008,Maryland,0.39,0.36,28054,10888,3912,690,NA
164924,Boston College,2008,Massachusetts,0.26,0.27,30845,8093,2167,715,32
170976,University of Michigan-Ann Arbor,2008,Michigan,0.42,0.46,29814,12567,5783,715,31
171100,Michigan State University,2008,Michigan,0.7,0.42,25589,17919,7555,640,27
174066,University of Minnesota-Twin Cities,2008,Minnesota,0.53,0.33,29173,15324,5107,690,29
176017,University of Mississippi,2008,Mississippi,0.83,0.37,7946,6630,2473,565,26
176080,Mississippi State University,2008,Mississippi,0.57,0.78,7479,4273,3313,635,27
178396,University of Missouri-Columbia,2008,Missouri,0.85,0.47,14491,12327,5783,655,28
181464,University of Nebraska-Lincoln,2008,Nebraska,0.63,0.69,9709,6122,4200,670,28
186380,Rutgers University-New Brunswick,2008,New Jersey,0.56,0.35,29547,16478,5840,650,NA
196413,Syracuse University,2008,New York,0.53,0.27,22079,11597,3186,635,28
198419,Duke University,2008,North Carolina,0.23,0.42,17748,4077,1700,770,34
199120,University of North Carolina at Chapel Hill,2008,North Carolina,0.35,0.56,20090,6999,3893,700,31
199193,North Carolina State University at Raleigh,2008,North Carolina,0.6,0.49,16553,9985,4907,630,27
199847,Wake Forest University,2008,North Carolina,0.38,0.35,9050,3473,1202,700,31
204796,Ohio State University-Main Campus,2008,Ohio,0.62,0.47,20932,13041,6173,665,30
207388,Oklahoma State University-Main Campus,2008,Oklahoma,0.89,0.54,6406,5702,3073,610,27
207500,University of Oklahoma-Norman Campus,2008,Oklahoma,0.73,0.48,10863,7958,3803,645,28
209542,Oregon State University,2008,Oregon,0.86,0.45,8149,6971,3141,595,26
209551,University of Oregon,2008,Oregon,0.87,0.37,11287,9813,3587,605,NA
214777,Pennsylvania State University-Main Campus,2008,Pennsylvania,0.51,0.32,39551,20156,6495,650,28
215293,University of Pittsburgh-Pittsburgh Campus,2008,Pennsylvania,0.56,0.32,19056,10591,3432,670,30
217882,Clemson University,2008,South Carolina,0.5,0.39,14255,7154,2762,660,30
218663,University of South Carolina-Columbia,2008,South Carolina,0.59,0.43,14994,8908,3813,640,28
221759,The University of Tennessee-Knoxville,2008,Tennessee,0.71,0.48,12824,9136,4351,635,28
221999,Vanderbilt University,2008,Tennessee,0.25,0.37,16944,4292,1569,750,33
223232,Baylor University,2008,Texas,0.51,0.23,25501,13096,3068,655,28
228723,Texas A & M University-College Station,2008,Texas,0.7,0.55,20887,14640,8091,650,29
228778,The University of Texas at Austin,2008,Texas,0.44,0.52,29501,12843,6718,675,30
228875,Texas Christian University,2008,Texas,0.5,0.26,12212,6157,1630,635,28
229115,Texas Tech University,2008,Texas,0.72,0.38,16143,11643,4385,605,26
230764,University of Utah,2008,Utah,0.81,0.45,7244,5873,2642,622.5,27
233921,Virginia Polytechnic Institute and State University,2008,Virginia,0.65,0.4,20615,13485,5460,650,NA
234076,University of Virginia-Main Campus,2008,Virginia,0.37,0.48,18363,6735,3255,720,32
236939,Washington State University,2008,Washington,0.72,0.42,11326,8179,3411,610,26
236948,University of Washington-Seattle Campus,2008,Washington,0.61,0.46,19906,12094,5607,660,29
238032,West Virginia University,2008,West Virginia,0.35,1,13634,4731,4731,575,26
240444,University of Wisconsin-Madison,2008,Wisconsin,0.63,0.43,22289,14004,5994,690,30
243744,Stanford University,2008,California,0.09,0.71,25299,2400,1703,770,34
243780,Purdue University-Main Campus,2008,Indiana,0.72,0.33,29952,21423,7025,635,29
100751,The University of Alabama,2009,Alabama,0.59,0.46,18967,11133,5148,620,28
100858,Auburn University,2009,Alabama,0.8,0.33,14862,11816,3918,650,29
104151,Arizona State University-Tempe,2009,Arizona,0.9,0.4,27089,24473,9707,605,26
104179,University of Arizona,2009,Arizona,0.78,0.36,24756,19310,6966,610,27
106397,University of Arkansas,2009,Arkansas,0.56,0.43,12035,6751,2919,630,29
110635,University of California-Berkeley,2009,California,0.21,0.41,48473,10404,4261,730,32
110662,University of California-Los Angeles,2009,California,0.23,0.37,55423,12659,4735,700,31
123961,University of Southern California,2009,California,0.24,0.33,35753,8724,2869,725,32
126614,University of Colorado Boulder,2009,Colorado,0.84,0.34,19649,16514,5555,640,29
134097,Florida State University,2009,Florida,0.61,0.42,23439,14308,5967,645,28
134130,University of Florida,2009,Florida,0.43,0.57,25798,11015,6253,680,29
135726,University of Miami,2009,Florida,0.44,0.21,21845,9700,2006,690,31
139755,Georgia Institute of Technology-Main Campus,2009,Georgia,0.61,0.42,10258,6248,2640,710,31
139959,University of Georgia,2009,Georgia,0.56,0.51,17207,9569,4851,660,29
145637,University of Illinois at Urbana-Champaign,2009,Illinois,0.65,0.41,26057,17053,6984,715,31
147767,Northwestern University,2009,Illinois,0.26,0.32,25013,6553,2078,765,33
151351,Indiana University-Bloomington,2009,Indiana,0.73,0.31,33011,23975,7327,645,29
152080,University of Notre Dame,2009,Indiana,0.29,0.5,14357,4113,2064,755,34
153603,Iowa State University,2009,Iowa,0.87,0.42,12549,10953,4546,665,28
153658,University of Iowa,2009,Iowa,0.83,0.32,15060,12503,4063,665,28
155317,University of Kansas,2009,Kansas,0.92,0.45,10902,10003,4483,NA,27
155399,Kansas State University,2009,Kansas,0.98,0.45,8413,8283,3687,NA,NA
157085,University of Kentucky,2009,Kentucky,0.79,0.47,11120,8757,4110,620,27
157289,University of Louisville,2009,Kentucky,0.7,0.48,7861,5473,2609,630,27
159391,Louisiana State University and Agricultural & Mechanical College,2009,Louisiana,0.73,0.46,15093,11092,5141,640,28
163286,University of Maryland-College Park,2009,Maryland,0.42,0.35,28331,11870,4202,695,NA
164924,Boston College,2009,Massachusetts,0.3,0.25,29289,8804,2171,715,32
170976,University of Michigan-Ann Arbor,2009,Michigan,0.5,0.41,29965,14970,6079,715,31
171100,Michigan State University,2009,Michigan,0.72,0.4,25395,18392,7416,635,27
174066,University of Minnesota-Twin Cities,2009,Minnesota,0.5,0.32,33910,16960,5400,690,29
176017,University of Mississippi,2009,Mississippi,0.8,0.38,8595,6839,2576,590,26
176080,Mississippi State University,2009,Mississippi,0.57,0.38,11281,6415,2450,625,27
178396,University of Missouri-Columbia,2009,Missouri,0.83,0.41,16455,13659,5589,650,28
181464,University of Nebraska-Lincoln,2009,Nebraska,0.63,0.67,9455,5943,3986,675,29
186380,Rutgers University-New Brunswick,2009,New Jersey,0.61,0.33,28624,17598,5839,650,NA
196413,Syracuse University,2009,New York,0.6,0.26,20951,12596,3261,635,28
198419,Duke University,2009,North Carolina,0.22,0.41,18774,4202,1703,770,NA
199120,University of North Carolina at Chapel Hill,2009,North Carolina,0.34,0.53,21543,7315,3865,695,31
199193,North Carolina State University at Raleigh,2009,North Carolina,0.59,0.46,17853,10538,4804,640,27
199847,Wake Forest University,2009,North Carolina,0.38,0.3,10553,3959,1201,NA,NA
204796,Ohio State University-Main Campus,2009,Ohio,0.65,0.49,21330,13840,6739,670,30
207388,Oklahoma State University-Main Campus,2009,Oklahoma,0.86,0.48,7561,6537,3148,620,27
207500,University of Oklahoma-Norman Campus,2009,Oklahoma,0.89,0.46,9252,8211,3760,650,29
209542,Oregon State University,2009,Oregon,0.84,0.44,8640,7270,3191,605,26
209551,University of Oregon,2009,Oregon,0.85,0.33,15013,12801,4260,609.5,NA
214777,Pennsylvania State University-Main Campus,2009,Pennsylvania,0.51,0.36,39089,20011,7241,650,29
215293,University of Pittsburgh-Pittsburgh Campus,2009,Pennsylvania,0.55,0.3,20685,11467,3488,680,30
217882,Clemson University,2009,South Carolina,0.58,0.36,14504,8355,2982,660,30
218663,University of South Carolina-Columbia,2009,South Carolina,0.58,0.4,17018,9954,3967,640,28
221759,The University of Tennessee-Knoxville,2009,Tennessee,0.73,0.42,12234,8892,3717,645,29
221999,Vanderbilt University,2009,Tennessee,0.2,0.41,19353,3899,1599,760,34
223232,Baylor University,2009,Texas,0.5,0.2,31440,15699,3098,645,29
228723,Texas A & M University-College Station,2009,Texas,0.67,0.53,22969,15369,8104,650,30
228778,The University of Texas at Austin,2009,Texas,0.45,0.51,31362,14213,7243,675,30
228875,Texas Christian University,2009,Texas,0.59,0.26,11951,7079,1821,640,28
229115,Texas Tech University,2009,Texas,0.68,0.41,16551,11228,4585,600,26
230764,University of Utah,2009,Utah,0.8,0.59,7890,6318,3748,630,27
233921,Virginia Polytechnic Institute and State University,2009,Virginia,0.67,0.36,21053,14040,5050,655,NA
234076,University of Virginia-Main Campus,2009,Virginia,0.32,0.48,21109,6768,3250,720,32
236939,Washington State University,2009,Washington,0.76,0.37,11795,8995,3372,600,26
236948,University of Washington-Seattle Campus,2009,Washington,0.61,0.45,20224,12327,5579,665,29
238032,West Virginia University,2009,West Virginia,0.88,0.39,15094,13232,5135,570,26
240444,University of Wisconsin-Madison,2009,Wisconsin,0.59,0.43,22613,13446,5773,700,30
243744,Stanford University,2009,California,0.08,0.7,30429,2426,1694,770,34
243780,Purdue University-Main Campus,2009,Indiana,0.73,0.31,27213,19905,6225,640,29
100751,The University of Alabama,2010,Alabama,0.54,0.52,20112,10776,5563,620,29
100858,Auburn University,2010,Alabama,0.79,0.34,15784,12417,4204,655,30
104151,Arizona State University-Tempe,2010,Arizona,0.91,0.36,28304,25616,9344,605,26
104179,University of Arizona,2010,Arizona,0.75,0.35,26629,20068,7032,610,27
106397,University of Arkansas,2010,Arkansas,0.6,0.45,14019,8468,3810,625,28
110635,University of California-Berkeley,2010,California,0.22,0.41,48682,10524,4356,730,32
110662,University of California-Los Angeles,2010,California,0.22,0.37,55694,12178,4472,700,31
123961,University of Southern California,2010,California,0.24,0.34,35794,8715,2972,735,33
126614,University of Colorado Boulder,2010,Colorado,0.83,0.3,21150,17517,5211,645,28
134097,Florida State University,2010,Florida,0.6,0.38,26037,15498,5952,645,28
134130,University of Florida,2010,Florida,0.43,0.56,26512,11459,6381,680,30
135726,University of Miami,2010,Florida,0.39,0.21,25899,10157,2132,690,32
139755,Georgia Institute of Technology-Main Campus,2010,Georgia,0.59,0.4,11432,6721,2660,715,31
139959,University of Georgia,2010,Georgia,0.54,0.49,17776,9557,4684,665,29
145637,University of Illinois at Urbana-Champaign,2010,Illinois,0.67,0.38,27310,18324,6929,715,31
147767,Northwestern University,2010,Illinois,0.27,0.31,25369,6887,2128,765,33
151351,Indiana University-Bloomington,2010,Indiana,0.69,0.28,36719,25391,7020,640,29
152080,University of Notre Dame,2010,Indiana,0.29,0.49,14521,4177,2067,755,34
153603,Iowa State University,2010,Iowa,0.85,0.41,12536,10662,4356,665,28
153658,University of Iowa,2010,Iowa,0.84,0.32,17220,14434,4557,670,28
155317,University of Kansas,2010,Kansas,0.91,0.4,10653,9740,3942,NA,27
155399,Kansas State University,2010,Kansas,0.99,0.44,8268,8147,3561,NA,NA
157085,University of Kentucky,2010,Kentucky,0.74,0.46,12195,8966,4153,625,28
157289,University of Louisville,2010,Kentucky,0.73,0.44,7755,5625,2478,634,28
159391,Louisiana State University and Agricultural & Mechanical College,2010,Louisiana,0.69,0.43,15917,11012,4789,640,28
163286,University of Maryland-College Park,2010,Maryland,0.45,0.34,26147,11671,3933,695,NA
164924,Boston College,2010,Massachusetts,0.31,0.25,29933,9310,2359,715,32
170976,University of Michigan-Ann Arbor,2010,Michigan,0.51,0.4,31613,16006,6481,720,31
171100,Michigan State University,2010,Michigan,0.7,0.39,26907,18829,7375,640,28
174066,University of Minnesota-Twin Cities,2010,Minnesota,0.48,0.3,36853,17613,5323,705,30
176017,University of Mississippi,2010,Mississippi,0.78,0.36,10909,8479,3088,595,27
176080,Mississippi State University,2010,Mississippi,0.55,0.52,9300,5158,2707,620,26
178396,University of Missouri-Columbia,2010,Missouri,0.81,0.36,20664,16730,6089,650,28
181464,University of Nebraska-Lincoln,2010,Nebraska,0.62,0.67,9768,6089,4075,660,28
186380,Rutgers University-New Brunswick,2010,New Jersey,0.59,0.35,29532,17448,6033,650,NA
196413,Syracuse University,2010,New York,0.6,0.25,22935,13704,3471,635,28
198419,Duke University,2010,North Carolina,0.19,0.41,22280,4203,1723,765,34
199120,University of North Carolina at Chapel Hill,2010,North Carolina,0.32,0.54,23225,7345,3960,705,31
199193,North Carolina State University at Raleigh,2010,North Carolina,0.55,0.46,18992,10409,4772,640,28
199847,Wake Forest University,2010,North Carolina,0.4,0.29,10566,4256,1225,NA,NA
204796,Ohio State University-Main Campus,2010,Ohio,0.62,0.4,26764,16572,6672,675,30
207388,Oklahoma State University-Main Campus,2010,Oklahoma,0.81,0.5,8696,7079,3554,615,28
207500,University of Oklahoma-Norman Campus,2010,Oklahoma,0.85,0.44,9996,8500,3726,655,29
209542,Oregon State University,2010,Oregon,0.82,0.42,10068,8303,3506,605,26
209551,University of Oregon,2010,Oregon,0.8,0.29,16780,13367,3839,615,27
214777,Pennsylvania State University-Main Campus,2010,Pennsylvania,0.52,0.31,40714,21017,6560,650,29
215293,University of Pittsburgh-Pittsburgh Campus,2010,Pennsylvania,0.59,0.29,21737,12722,3642,680,30
217882,Clemson University,2010,South Carolina,0.63,0.33,16282,10224,3383,655,30
218663,University of South Carolina-Columbia,2010,South Carolina,0.64,0.35,17695,11262,3917,645,29
221759,The University of Tennessee-Knoxville,2010,Tennessee,0.74,0.45,12555,9352,4214,640,29
221999,Vanderbilt University,2010,Tennessee,0.18,0.41,21811,3914,1600,765,34
223232,Baylor University,2010,Texas,0.48,0.2,34145,16315,3259,660,29
228723,Texas A & M University-College Station,2010,Texas,0.69,0.51,23314,16003,8176,665,30
228778,The University of Texas at Austin,2010,Texas,0.47,0.5,31022,14583,7275,680,31
228875,Texas Christian University,2010,Texas,0.53,0.25,14085,7428,1827,640,29
229115,Texas Tech University,2010,Texas,0.72,0.41,16349,11720,4858,595,27
230764,University of Utah,2010,Utah,0.83,0.45,8364,6931,3110,630,27
233921,Virginia Polytechnic Institute and State University,2010,Virginia,0.67,0.39,19981,13389,5205,660,29
234076,University of Virginia-Main Campus,2010,Virginia,0.33,0.45,22124,7212,3246,725,32
236939,Washington State University,2010,Washington,0.7,0.37,11604,8068,2980,595,26
236948,University of Washington-Seattle Campus,2010,Washington,0.58,0.44,21268,12264,5338,665,30
238032,West Virginia University,2010,West Virginia,0.88,0.37,14229,12496,4589,570,26
240444,University of Wisconsin-Madison,2010,Wisconsin,0.67,0.4,21390,14225,5680,695,30
