unitid,school,year,state,admitRate,yield,applications,admissions,enrollments,avgSAT75,ACTcomposite75
134097,Florida State University,2002,Florida,0.62,0.5,18342,11444,5772,635,NA
134130,University of Florida,2002,Florida,0.58,0.56,20119,11728,6536,670,NA
135726,University of Miami,2002,Florida,0.44,0.3,15909,6977,2059,650,28
139755,Georgia Institute of Technology-Main Campus,2002,Georgia,0.59,0.43,8953,5270,2282,710,NA
139959,University of Georgia,2002,Georgia,0.65,0.51,12786,8340,4228,645,29
145637,University of Illinois at Urbana-Champaign,2002,Illinois,0.62,0.51,19930,12351,6247,NA,30
147767,Northwestern University,2002,Illinois,0.34,0.41,13988,4780,1952,740,NA
151351,Indiana University-Bloomington,2002,Indiana,0.81,0.41,21264,17267,7080,605,27
152080,University of Notre Dame,2002,Indiana,0.34,0.58,9744,3336,1946,725,33
153603,Iowa State University,2002,Iowa,0.89,0.46,10370,9232,4219,660,27
153658,University of Iowa,2002,Iowa,0.84,0.38,13079,11038,4184,655,27
155317,University of Kansas,2002,Kansas,0.68,0.66,9005,6157,4078,NA,28
155399,Kansas State University,2002,Kansas,0.58,0.74,8212,4752,3527,NA,25
157085,University of Kentucky,2002,Kentucky,0.82,0.45,8449,6914,3140,620,26
157289,University of Louisville,2002,Kentucky,0.68,0.59,5814,3955,2331,600,25
159391,Louisiana State University and Agricultural & Mechanical College,2002,Louisiana,0.79,0.64,10536,8336,5301,NA,26
163286,University of Maryland-College Park,2002,Maryland,0.43,0.39,23117,10046,3912,685,NA
164924,Boston College,2002,Massachusetts,0.32,0.34,21133,6850,2315,695,NA
170976,University of Michigan-Ann Arbor,2002,Michigan,0.49,0.42,25108,12315,5187,695,30
171100,Michigan State University,2002,Michigan,0.67,0.41,25210,16977,7000,625,27
174066,University of Minnesota-Twin Cities,2002,Minnesota,0.74,0.47,14724,10967,5185,NA,28
176017,University of Mississippi,2002,Mississippi,0.67,0.44,7603,5114,2257,NA,26
176080,Mississippi State University,2002,Mississippi,0.73,0.51,4772,3469,1759,NA,27
178396,University of Missouri-Columbia,2002,Missouri,0.79,0.49,11569,9091,4439,NA,28
181464,University of Nebraska-Lincoln,2002,Nebraska,0.9,0.53,7631,6836,3653,650,27
186380,Rutgers University-New Brunswick,2002,New Jersey,0.55,0.34,26678,14764,5054,650,NA
196413,Syracuse University,2002,New York,0.69,0.31,13644,9380,2916,650,NA
198419,Duke University,2002,North Carolina,0.26,0.44,13976,3673,1615,750,NA
199120,University of North Carolina at Chapel Hill,2002,North Carolina,0.4,0.58,15946,6339,3687,685,NA
199193,North Carolina State University at Raleigh,2002,North Carolina,0.66,0.49,11928,7866,3893,640,NA
199847,Wake Forest University,2002,North Carolina,0.41,0.41,5995,2454,1007,695,NA
204796,Ohio State University-Main Campus,2002,Ohio,0.74,0.42,19563,14414,5982,635,27
207388,Oklahoma State University-Main Campus,2002,Oklahoma,0.91,0.69,5167,4712,3265,610,26
207500,University of Oklahoma-Norman Campus,2002,Oklahoma,0.89,0.6,7248,6425,3833,NA,28
209542,Oregon State University,2002,Oregon,0.51,0.92,6645,3402,3115,600,NA
209551,University of Oregon,2002,Oregon,0.9,0.4,8686,7819,3107,610,NA
214777,Pennsylvania State University-Main Campus,2002,Pennsylvania,0.57,0.38,28100,15966,6122,645,NA
215293,University of Pittsburgh-Pittsburgh Campus,2002,Pennsylvania,0.6,0.35,15438,9224,3208,635,28
217882,Clemson University,2002,South Carolina,0.52,0.42,11315,5864,2471,655,29
218663,University of South Carolina-Columbia,2002,South Carolina,0.7,0.42,11176,7788,3287,605,26
221759,The University of Tennessee-Knoxville,2002,Tennessee,0.88,0.45,9350,8241,3682,605,26
221999,Vanderbilt University,2002,Tennessee,0.46,0.35,9836,4550,1579,710,31
